"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,xfield
Dove 2ep-11 (0 Flock 2EP-11 0C27),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,403,4.43E-04,51.6,92.5,4,,,2016-06-03T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KB,41577,,155
Dove 2ep-12 (0 Flock 2EP-12 0C81),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,2016-06-03T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KC,41578,,155
Dove 2ep-13 (0 Flock 2EP-13 0C45),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,408,8.12E-04,51.6,92.6,4,,,2016-09-15T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KH,41761,,259
Dove 2ep-14 (0 Flock 2EP-14 0C56),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,408,8.12E-04,51.6,92.6,4,,,2016-09-15T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KJ,41762,,259
Dove 2ep-15 (0 Flock 2EP-15 0C54),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,408,6.64E-04,51.6,92.6,4,,,2016-09-15T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KL,41764,,259
Dove 2ep-16 (0 Flock 2EP-16 0C0B),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,409,8.12E-04,51.6,92.6,4,,,2016-09-15T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KK,41763,,259
Dove 2ep-17 (0 Flock 2EP-17 0C12),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,408,7.38E-04,51.6,92.6,4,,,2016-09-15T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KN,41776,,259
Dove 2ep-18 (0 Flock 2EP-18 0C44),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,408,7.38E-04,51.6,92.6,4,,,2016-09-16T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KM,41769,,260
Dove 2ep-19 (0 Flock 2EP-19 0C62),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,408,7.38E-04,51.6,92.6,4,,,2016-09-15T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KQ,41782,,259
Dove 2ep-2 (0 Flock 2EP-2 0C1B),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,400,401,7.38E-05,51.6,92.5,4,,,2016-05-17T00:00,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JB,41481,,138
Dove 2ep-20 (0 Flock 2EP-20 0C38),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,409,8.12E-04,51.6,92.6,4,,,2016-09-17T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KP,41777,,261
Dove 2ep-3 (0 Flock 2EP-3 0D06),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,402,2.95E-04,51.6,92.5,4,,,2016-05-17T00:00,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JA,41480,,138
Dove 2ep-4 (0 Flock 2EP-4 0C22),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,2016-05-17T00:00,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JC,41482,,138
Dove 2ep-5 (0 Flock 2EP-5 0C59),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,2016-06-01T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JR,41567,,153
Dove 2ep-6 (0 Flock 2EP-6 0C46),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,2016-06-01T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JS,41568,,153
Dove 2ep-7 (0 Flock 2EP-7 0C42),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,2016-06-01T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JT,41569,,153
Dove 2ep-8 (0 Flock 2EP-8 0C76),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,403,5.17E-04,51.6,92.5,4,,,2016-06-01T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JU,41570,,153
Dove 2ep-9 (0 Flock 2EP-9 0C19),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,395,406,8.12E-04,51.6,92.5,4,,,2016-06-03T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JZ,41575,,155
Dove 2k-1 (0 Flock 2K-1 0F1A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,476,0.001096732,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AD,42852,,195
Dove 2k-10 (0 Flock 2K-10 0F32),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BY,42895,,195
Dove 2k-11 (0 Flock 2K-11 0F33),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BX,42894,,195
Dove 2k-12 (0 Flock 2K-12 0F36),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BW,42893,,195
Dove 2k-13 (0 Flock 2K-13 0F37),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BU,42891,,195
Dove 2k-14 (0 Flock 2K-14 0F3B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BV,42892,,195
Dove 2k-15 (0 Flock 2K-15 0F3C),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BT,42890,,195
Dove 2k-16 (0 Flock 2K-16 0F3D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BS,42889,,195
Dove 2k-17 (0 Flock 2K-17 0F40),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,0.001096892,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BR,42888,,195
Dove 2k-18 (0 Flock 2K-18 0F44),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BQ,42887,,195
Dove 2k-19 (0 Flock 2K-19 0F46),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,0.001096892,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BP,42886,,195
Dove 2k-2 (0 Flock 2K-2 0F1E),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,476,0.001096732,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AE,42853,,195
Dove 2k-20 (0 Flock 2K-20 0F47),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,0.001096892,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BN,42885,,195
Dove 2k-21 (0 Flock 2K-21 0F49),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,0.001096892,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AM,42860,,195
Dove 2k-22  (0 Flock  2K-22 0F4A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,0.001096892,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AN,42861,,195
Dove 2k-23 (0 Flock 2K-23 0F4B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,460,475,0.001096892,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AL,42859,,195
Dove 2k-24 (0 Flock 2K-24 0F4F),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,0.001097053,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AJ,42857,,195
Dove 2k-25 (0 Flock 2K-25 0F4D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,0.001097053,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BM,42884,,195
Dove 2k-26 (0 Flock 2K-26 0F53),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,0.001097053,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BL,42883,,195
Dove 2k-27 (0 Flock 2K-27 0F54),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,0.001097053,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BK,42882,,195
Dove 2k-28 (0 Flock 2K-28 1047),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,0.001097053,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BH,42880,,195
Dove 2k-29  (0 Flock 2K-29 1048),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,0.001097053,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AY,42871,,195
Dove 2k-3 (0 Flock 2K-3 0F21),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,476,0.001096732,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz  2.1a,2017-042AB,42850,,195
Dove 2k-30 (0 Flock 2K-30 1049),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,0.001097053,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AZ,42872,,195
Dove 2k-31 (0 Flock 2K-31 104A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,459,474,0.001097053,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AW,42869,,195
Dove 2k-32 (0 Flock 2K-32  104B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,475,0.001243326,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AX,42870,,195
Dove 2k-33 (0 Flock 2K-33 104C),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,475,0.001243326,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BG,42879,,195
Dove 2k-34 (0 Flock 2K-34 104D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,475,0.001243326,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BF,42878,,195
Dove 2k-35 (0 Flock 2K-35 104E),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,475,0.001243326,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BE,42877,,195
Dove 2k-36 (0 Flock 2K-36 104F),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,475,0.001243326,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BD,42876,,195
Dove 2k-37 (0 Flock 2K-37 1050),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,475,0.001243326,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AU,42867,,195
Dove 2k-38 (0 Flock 2K-38 1051),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,475,0.001243326,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AV,42868,,195
Dove 2k-39 (0 Flock 2K-39 1052),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,474,0.001170275,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AT,42866,,195
Dove 2k-4 (0 Flock 2K-4 0F24),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AC,42851,,195
Dove 2k-40 (0 Flock 2K-40 1053),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,474,0.001170275,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AS,42865,,195
Dove 2k-41 (0 Flock 2K-41 1054),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,474,0.001170275,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BC,42875,,195
Dove 2k-43 (0 Flock 2K-43 1056),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,458,474,0.001170275,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BB,42874,,195
Dove 2k-44 (0 Flock 2K-44 1020),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,457,474,0.001243508,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BA,42873,,195
Dove 2k-45  (0 Flock 2K-45  100D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,457,474,0.001243508,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AH,42856,,195
Dove 2k-46 (0 Flock 2K-46 103F),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,457,474,0.001243508,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AK,42858,,195
Dove 2k-47 (0 Flock 2K-47 1043),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,457,474,0.001243508,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AF,42854,,195
Dove 2k-48 (0 Flock 2K-48 101C),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,457,474,0.001243508,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017--042AG,42855,,195
Dove 2k-5 (0  Flock 2K-5 0F29),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AR,42864,,195
Dove 2k-6 (0 Flock 2K-6 0F2A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042CA,42897,,195
Dove 2k-7 (0 Flock 2K-7 0F2B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AP,42862,,195
Dove 2k-8 (0 Flock 2K-8 0F2D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042AQ,42863,,195
Dove 2k-9 (0 Flock 2K-9 0F2E),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,461,475,0.001023691,97,94,4,,,2017-07-14T00:00,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BZ,42896,,195
Dove 2p-1 ( (0 Flock 2P-1 0E0D),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,513,9.45E-04,97.51,94.75,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040U,41617,,174
Dove 2p-10 (0 Flock 2P-10 0E2F),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,513,9.45E-04,97.51,94.76,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040P,41612,,174
Dove 2p-11 (0 Flock 2P-11 0E30),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,496,518,0.001599535,97.51,94.77,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040K,41608,,174
Dove 2p-12 (0 Flock 2P-12 0E3A),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,499,514,0.001090671,97.51,94.75,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040R,41614,,174
Dove 2p-2 (0 Flock 2P-2 (0e0E),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,499,516,0.001235914,97.51,94.77,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040L,41609,,174
Dove 2p-3 (0 Flock 2P-3 (0E0F),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.001017886,97.51,94.75,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040V,41618,,174
Dove 2p-4 (0 Flock 2P-4 0E14),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,499,514,0.001090671,97.51,94.76,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040N,41611,,174
Dove 2p-5 (0 Flock 2P-5 0E16),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.001017886,97.51,94.75,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040T,41616,,174
Dove 2p-6 (0 Flock 2P-6 0E19),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.001017886,97.51,94.75,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040H,41606,,174
Dove 2p-7 (0 Flock 2P-7 0E1F),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.001017886,97.51,94.75,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040S,41615,,174
Dove 2p-8 (0 Flock 2P-8 0E20),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.001017886,97.51,94.76,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040Q,41613,,174
Dove 2p-9 (0 Flock 2P-9 0E26),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical  Imaging,LEO,Sun-Synchronous,0,500,514,0.001017886,97.51,94.77,4,,,2016-06-22T00:00,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,2016-040M,41610,,174
