Region,Country,City,Unit,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Asia,Kuwait,Kuwait City,Rate,,,1,1.1,1.3,1.2,1.2,,,,,,,,
Asia,Kyrgyzstan,Bishkek,Count,80,84,130,104,93,89,80,88,81,71,44,54,60,,
Asia,Kyrgyzstan,Bishkek,Rate,9.5,9.9,15.3,12.1,10.7,10.1,8.9,9.7,8.8,7.5,4.6,5.6,6.1,,
Asia,Macao Special Administrative Region,Macau,Count,,,,,,,,,,,1,,1,1,
Asia,Macao Special Administrative Region,Macau,Rate,,,,,,,,,,,0.2,,0.2,0.2,
Asia,Malaysia,Kuala Lumpur,Count,,,47,70,,,,,,,,,,,
Asia,Malaysia,Kuala Lumpur,Rate,,,3,4.4,,,,,,,,,,,
Asia,Maldives,Male,Count,,,,,,4,5,4,2,6,1,,,,
Asia,Maldives,Male,Rate,,,,,,3.6,4.4,3.4,1.7,4.9,0.8,,,,
Asia,Mongolia,Central,Count,,,,,,,9,16,8,11,14,26,17,21,
Asia,Mongolia,Central,Rate,,,,,,,3.3,5.8,2.9,3.9,5,8.8,5.5,6.6,
Asia,Mongolia,Orkhon,Count,,,,,,,7,9,10,4,14,24,28,21,
Asia,Mongolia,Orkhon,Rate,,,,,,,2.5,3.1,3.4,1.3,4.6,7.8,8.7,6.4,
Asia,Mongolia,Ulaanbaatar,Count,162,150,157,153,138,112,101,91,136,99,79,107,95,87,
Asia,Mongolia,Ulaanbaatar,Rate,14.4,13.2,13.7,13.1,11.7,9.4,8.4,7.3,10.6,7.5,6.2,8.1,7.1,6.3,
Asia,Myanmar,Yangon,Count,,,,,,,114,139,155,185,161,186,182,,
Asia,Myanmar,Yangon,Rate,,,,,,,2.5,3,3.4,4,3.4,3.9,3.8,,
Asia,Nepal,Kathmandu,Count,,,172,166,,,,,,,,,,,
Asia,Nepal,Kathmandu,Rate,,,19.2,18.5,,,,,,,,,,,
Asia,Oman,Muscat,Count,,,,,4,4,,,,,,,,,
Asia,Oman,Muscat,Rate,,,,,0.6,0.6,,,,,,,,,
Asia,Philippines,Quezon city,Count,,,239,188,151,119,123,,,,157,,,,
Asia,Philippines,Quezon city,Rate,,,10.3,8.1,6.5,5.1,5.3,,,,5.7,,,,
Asia,Qatar,Doha,Count,,,,,5,4,,,,,,,,,
Asia,Qatar,Doha,Rate,,,,,0.6,0.5,,,,,,,,,
Asia,Republic of Korea,Busan,Count,,,,,,,,,28,24,23,20,19,,
Asia,Republic of Korea,Busan,Rate,,,,,,,,,0.8,0.7,0.7,0.6,0.5,,
Asia,Republic of Korea,Inchon,Count,,,,,,,,,25,21,13,16,15,,
Asia,Republic of Korea,Inchon,Rate,,,,,,,,,0.8,0.7,3.8,4.7,4.4,,
Asia,Republic of Korea,Seoul,Count,,,,,,,,,83,67,49,57,67,,
Asia,Republic of Korea,Seoul,Rate,,,,,,,,,0.8,0.7,0.5,0.6,0.7,,
Asia,Saudi Arabia,Makkah al-Mukarramah,Count,,,,,,,,,,,,,55,,
Asia,Saudi Arabia,Makkah al-Mukarramah,Rate,,,,,,,,,,,,,3.6,,
Asia,Singapore,Singapore,Count,,,21,17,18,27,20,19,16,11,,,,,
Asia,Singapore,Singapore,Rate,,,0.5,0.4,0.4,0.6,0.4,0.4,0.3,0.2,,,,,
Asia,Sri Lanka,Colombo,Count,,,,,,,,,,,,,,,19
Asia,Sri Lanka,Colombo,Rate,,,,,,10.8,6.1,4.8,5.2,4.8,2.5,2.8,2.9,2.5,
Asia,Sri Lanka,Dehiwala-Mt.Lavinia,Count,,,,,,,,,,,5,8,5,3,
