"Sex";"Age";"Periods";"Total suicides (number)";"Marital status/Unmarried (number)";"Marital status/Married (number)";"Marital status/Widowed (number)";"Marital status/Divorced (number)";"Methods of suicide/Hanging/strangulation (number)";"Methods of suicide/Drugs/medicines/alcohol (number)";"Methods of suicide/Train/metro (number)";"Methods of suicide/Drowning (number)";"Methods of suicide/Jumping from height (number)";"Methods of suicide/Other method (number)";"Methods of suicide/Method unknown (number)";"Suicide motives/Mental disorder (number)";"Suicide motives/Physical disorder (number)";"Suicide motives/Domestic circumstances (number)";"Suicide motives/Other motive (number)";"Suicide motives/Motive unknown (number)";"Relative figures/Total suicides (Per 100 000 of the average population)";"Relative figures/Marital status/Unmarried (Per 100 000 of the average population)";"Relative figures/Marital status/Married (Per 100 000 of the average population)";"Relative figures/Marital status/Widowed (Per 100 000 of the average population)";"Relative figures/Marital status/Divorced (Per 100 000 of the average population)"
"Women";"30 to 39 years";"1961";"      31";"       7";"      24";"       0";"       0";"       7";"       2";"";"       6";"       1";"      12";"       3";"       0";"       0";"       0";"       0";"      31";"     4.0";"     8.3";"     3.6";"     0.0";"     0.0"
"Women";"30 to 39 years";"1962";"      34";"       8";"      23";"       1";"       2";"       7";"       4";"";"      11";"       0";"      10";"       2";"      19";"       2";"       1";"       1";"      11";"     4.4";"     9.7";"     3.4";"    17.4";"    22.9"
"Women";"30 to 39 years";"1963";"      43";"      14";"      26";"       0";"       3";"       9";"       9";"";"       7";"       3";"      12";"       3";"       0";"       0";"       0";"       0";"      43";"     5.6";"    17.7";"     3.9";"     0.0";"    34.6"
"Women";"30 to 39 years";"1964";"      36";"      10";"      24";"       0";"       2";"       8";"       6";"";"      10";"       1";"      10";"       1";"       0";"       0";"       0";"       0";"      36";"     4.7";"    13.2";"     3.6";"     0.0";"    22.9"
"Women";"30 to 39 years";"1965";"      37";"      13";"      23";"       0";"       1";"       4";"      13";"";"       8";"       2";"       8";"       2";"      20";"       1";"       3";"       1";"      12";"     4.9";"    17.9";"     3.4";"     0.0";"    11.3"
"Women";"30 to 39 years";"1966";"      36";"      12";"      21";"       1";"       2";"       6";"      10";"";"       7";"       2";"       8";"       3";"       0";"       0";"       0";"       0";"      36";"     4.8";"    17.2";"     3.1";"    17.1";"    21.7"
"Women";"30 to 39 years";"1967";"      39";"      13";"      20";"       2";"       4";"       6";"      12";"";"       7";"       4";"       7";"       3";"      18";"       0";"       2";"       0";"      19";"     5.1";"    19.4";"     3.0";"    33.9";"    40.8"
"Women";"30 to 39 years";"1968";"      37";"      14";"      21";"       0";"       2";"      12";"       9";"";"       4";"       3";"       6";"       3";"       0";"       0";"       0";"       0";"      37";"     4.9";"    21.7";"     3.1";"     0.0";"    18.9"
"Women";"30 to 39 years";"1969";"      46";"      16";"      28";"       0";"       2";"      15";"      17";"";"       6";"       3";"       5";"       0";"      30";"       3";"       2";"       0";"      11";"     6.0";"    25.5";"     4.1";"     0.0";"    17.3"
"Women";"30 to 39 years";"1970";"      43";"      10";"      29";"       1";"       3";"      11";"      19";"";"       6";"       3";"       4";"       0";"      28";"       1";"       1";"       1";"      12";"     5.6";"    16.3";"     4.2";"    16.4";"    23.6"
"Women";"30 to 39 years";"1971";"      52";"      15";"      31";"       0";"       6";"      15";"      26";"";"       6";"       1";"       4";"       0";"      34";"       2";"       2";"       0";"      14";"     6.7";"    25.0";"     4.5";"     0.0";"    42.8"
"Women";"30 to 39 years";"1972";"      54";"      17";"      32";"       3";"       2";"      11";"      20";"";"      10";"       4";"       9";"       0";"      40";"       4";"       1";"       1";"       8";"     6.9";"    28.7";"     4.6";"    47.8";"    12.6"
"Women";"30 to 39 years";"1973";"      67";"      17";"      40";"       2";"       8";"      18";"      25";"";"       8";"       5";"      11";"       0";"      47";"       0";"       1";"       0";"      19";"     8.4";"    28.8";"     5.6";"    31.0";"    43.3"
"Women";"30 to 39 years";"1974";"      74";"      20";"      43";"       0";"      11";"      16";"      27";"";"       8";"       9";"      14";"       0";"      47";"       2";"       3";"       3";"      19";"     9.1";"    33.3";"     5.9";"     0.0";"    50.5"
"Women";"30 to 39 years";"1975";"      79";"      22";"      41";"       1";"      15";"      16";"      33";"";"       7";"       8";"      15";"       0";"      54";"       2";"       1";"       0";"      22";"     9.5";"    37.0";"     5.5";"    14.9";"    58.8"
"Women";"30 to 39 years";"1976";"      77";"      20";"      47";"       2";"       8";"      19";"      32";"";"       4";"      13";"       9";"       0";"      42";"       0";"       3";"       4";"      28";"     8.8";"    33.0";"     6.1";"    29.3";"    26.6"
"Women";"30 to 39 years";"1977";"      80";"      17";"      52";"       1";"      10";"      22";"      26";"";"      12";"       9";"      11";"       0";"      49";"       5";"       2";"       1";"      23";"     8.7";"    26.0";"     6.4";"    14.0";"    28.3"
"Women";"30 to 39 years";"1978";"      98";"      26";"      58";"       1";"      13";"      19";"      28";"";"      11";"      13";"      27";"       0";"      59";"       3";"       4";"       2";"      30";"    10.2";"    37.1";"     6.9";"    13.5";"    31.9"
"Women";"30 to 39 years";"1979";"      83";"      22";"      44";"       0";"      17";"      22";"      14";"      10";"      12";"      14";"      11";"       0";"      46";"       2";"       3";"       0";"      32";"     8.3";"    29.2";"     5.1";"     0.0";"    36.9"
"Women";"30 to 39 years";"1980";"      87";"      25";"      41";"       1";"      20";"      20";"      25";"      13";"       7";"      10";"      12";"       0";"      48";"       6";"       3";"       2";"      28";"     8.5";"    30.7";"     4.6";"    12.9";"    38.5"
"Women";"30 to 39 years";"1981";"      89";"      28";"      47";"       1";"      13";"      22";"      23";"      17";"       7";"      12";"       8";"       0";"      49";"       4";"       4";"       1";"      31";"     8.4";"    31.7";"     5.2";"    12.8";"    22.2"
"Women";"30 to 39 years";"1982";"      95";"      26";"      40";"       2";"      27";"      23";"      20";"      16";"      12";"      16";"       8";"       0";"      56";"       2";"       6";"       2";"      29";"     8.8";"    27.5";"     4.4";"    25.2";"    41.4"
"Women";"30 to 39 years";"1983";"      95";"      23";"      52";"       0";"      20";"      31";"      17";"      15";"       7";"      19";"       6";"       0";"      63";"       0";"       8";"       5";"      19";"     8.6";"    22.7";"     5.6";"     0.0";"    27.6"
"Women";"30 to 39 years";"1984";"     119";"      31";"      62";"       1";"      25";"      38";"      22";"      24";"       8";"      20";"       7";"       0";"      68";"       0";"      16";"       3";"      32";"    10.6";"    28.0";"     6.7";"    12.6";"    31.2"
"Women";"30 to 39 years";"1985";"     115";"      37";"      50";"       2";"      26";"      34";"      25";"      20";"       8";"      18";"      10";"       0";"      53";"       4";"      12";"       5";"      41";"    10.1";"    30.4";"     5.4";"    25.1";"    29.7"
"Women";"30 to 39 years";"1986";"     120";"      36";"      55";"       2";"      27";"      38";"      26";"      18";"      11";"      16";"      11";"       0";"      48";"       1";"      15";"       6";"      50";"    10.4";"    27.2";"     6.0";"    25.7";"    29.5"
"Women";"30 to 39 years";"1987";"     109";"      40";"      38";"       1";"      30";"      33";"      27";"      21";"       5";"       8";"      15";"       0";"      45";"       1";"      13";"       1";"      49";"     9.5";"    28.0";"     4.2";"    13.6";"    32.6"
"Women";"30 to 39 years";"1988";"     100";"      34";"      45";"       3";"      18";"      27";"      17";"      14";"       4";"      25";"      13";"       0";"      48";"       2";"       6";"       4";"      40";"     8.8";"    21.8";"     5.1";"    42.9";"    19.6"
"Women";"30 to 39 years";"1989";"      92";"      33";"      40";"       3";"      16";"      29";"      19";"      16";"      10";"      14";"       4";"       0";"      56";"       0";"      11";"       2";"      23";"     8.0";"    19.6";"     4.5";"    44.9";"    17.5"
"Women";"30 to 39 years";"1990";"      99";"      42";"      38";"       0";"      19";"      33";"      12";"      16";"       9";"      15";"      14";"       0";"      59";"       2";"      13";"       3";"      22";"     8.5";"    23.1";"     4.3";"     0.0";"    21.0"
"Women";"30 to 39 years";"1991";"     125";"      49";"      43";"       1";"      32";"      34";"      20";"      20";"       4";"      19";"      27";"       1";"      71";"       4";"      23";"       4";"      23";"    10.6";"    24.9";"     4.8";"    15.8";"    35.9"
"Women";"30 to 39 years";"1992";"      99";"      43";"      40";"       1";"      15";"      33";"      20";"      20";"       3";"      13";"      10";"       0";"      62";"       2";"       7";"       2";"      26";"     8.3";"    20.4";"     4.5";"    16.2";"    17.0"
"Women";"30 to 39 years";"1993";"     101";"      33";"      47";"       3";"      18";"      38";"      15";"      18";"       3";"      14";"      13";"       0";"      65";"       0";"      13";"       2";"      21";"     8.3";"    14.5";"     5.3";"    49.1";"    20.5"
"Women";"30 to 39 years";"1994";"     101";"      52";"      34";"       0";"      15";"      37";"      24";"      16";"       3";"      14";"       7";"       0";"      50";"       1";"      15";"      10";"      25";"     8.2";"    21.4";"     3.8";"     0.0";"    16.9"
"Women";"30 to 39 years";"1995";"      97";"      39";"      39";"       1";"      18";"      38";"      16";"      16";"       4";"      11";"      12";"       0";"      50";"       6";"      14";"       8";"      19";"     7.8";"    15.0";"     4.4";"    17.3";"    19.8"
"Women";"30 to 39 years";"1996";"      91";"      45";"      29";"       2";"      15";"      33";"      20";"      11";"       3";"      17";"       6";"       1";"      47";"       3";"       9";"       7";"      25";"     7.2";"    16.3";"     3.3";"    35.1";"    16.1"
"Women";"30 to 39 years";"1997";"      95";"      51";"      32";"       1";"      11";"      39";"      26";"       7";"       4";"      11";"       8";"       0";"      50";"       3";"       9";"       6";"      27";"     7.5";"    17.5";"     3.7";"    17.8";"    11.6"
"Women";"30 to 39 years";"1998";"      89";"      47";"      26";"       0";"      16";"      41";"      18";"      12";"       1";"       5";"      11";"       1";"      55";"       1";"       8";"       5";"      20";"     7.0";"    15.3";"     3.0";"     0.0";"    16.7"
"Women";"30 to 39 years";"1999";"      83";"      43";"      24";"       2";"      14";"      30";"      25";"       7";"       2";"       8";"      10";"       1";"      46";"       8";"       7";"       8";"      14";"     6.5";"    13.3";"     2.8";"    39.1";"    14.4"
"Women";"30 to 39 years";"2000";"      89";"      51";"      23";"       1";"      14";"      36";"      15";"      15";"       3";"       8";"      11";"       1";"      53";"       2";"      10";"       3";"      21";"     6.9";"    15.0";"     2.7";"    20.1";"    14.2"
"Women";"30 to 39 years";"2001";"      86";"      47";"      30";"       0";"       9";"      28";"      23";"      15";"       2";"       8";"      10";"       0";"      49";"       3";"       7";"       3";"      24";"     6.6";"    13.1";"     3.6";"     0.0";"     9.0"
"Women";"30 to 39 years";"2002";"      88";"      47";"      26";"       1";"      14";"      34";"      21";"       8";"       5";"      13";"       7";"       0";"      58";"       3";"       4";"       3";"      20";"     6.8";"    12.5";"     3.2";"    21.7";"    13.9"
"Women";"30 to 39 years";"2003";"      62";"      30";"      17";"       0";"      15";"      29";"      13";"       6";"       3";"       3";"       8";"       0";"      37";"       0";"       3";"       2";"      20";"     4.9";"     7.7";"     2.2";"     0.0";"    15.2"
"Women";"30 to 39 years";"2004";"      60";"      33";"      16";"       1";"      10";"      21";"      18";"      10";"       1";"       6";"       4";"       0";"      39";"       4";"       2";"       2";"      13";"     4.8";"     8.3";"     2.1";"    24.4";"    10.5"
"Women";"30 to 39 years";"2005";"      91";"      45";"      23";"       0";"      23";"      37";"      24";"      14";"       4";"       7";"       5";"       0";"      50";"       5";"       7";"       5";"      24";"     7.4";"    11.1";"     3.2";"     0.0";"    25.2"
"Women";"30 to 39 years";"2006";"      62";"      37";"      15";"       1";"       9";"      21";"      12";"      12";"       4";"       9";"       4";"       0";"      32";"       1";"      10";"       3";"      16";"     5.2";"     9.0";"     2.2";"    28.0";"    10.3"
"Women";"30 to 39 years";"2007";"      66";"      42";"      14";"       0";"      10";"      20";"      22";"      10";"       3";"       6";"       5";"       0";"      36";"       1";"       7";"       8";"      14";"     5.7";"    10.1";"     2.1";"     0.0";"    12.0"
"Women";"30 to 39 years";"2008";"      54";"      34";"      12";"       0";"       8";"      18";"      14";"      10";"       2";"       7";"       3";"       0";"      40";"       1";"       5";"       2";"       6";"     4.8";"     8.0";"     1.9";"     0.0";"    10.0"
"Women";"30 to 39 years";"2009";"      60";"      34";"      18";"       1";"       7";"      15";"      16";"      10";"       3";"       8";"       7";"       1";"      39";"       0";"       3";"       3";"      15";"     5.4";"     8.0";"     3.0";"    33.8";"     8.8"
"Women";"30 to 39 years";"2010";"      68";"      38";"      22";"       0";"       8";"      28";"      18";"      10";"       0";"       6";"       4";"       2";"      40";"       2";"       5";"       3";"      18";"     6.3";"     9.0";"     3.8";"     0.0";"    10.2"
"Women";"30 to 39 years";"2011";"      64";"      47";"      10";"       0";"       7";"      21";"      19";"       7";"       4";"      12";"       1";"       0";"      40";"       0";"       4";"       4";"      16";"     6.1";"    11.1";"     1.8";"     0.0";"     9.6"
"Women";"30 to 39 years";"2012";"      71";"      49";"      15";"       0";"       7";"      33";"      11";"      12";"       2";"       7";"       5";"       1";"      40";"       1";"       5";"       2";"      23";"     6.9";"    11.4";"     2.8";"     0.0";"    10.1"
"Women";"30 to 39 years";"2013";"      49";"      30";"      14";"       0";"       5";"      17";"      15";"       8";"       1";"       3";"       4";"       1";"      35";"       0";"       0";"       4";"      10";"     4.8";"     6.9";"     2.7";"     0.0";"     7.5"
"Women";"30 to 39 years";"2014";"      64";"      43";"      10";"       0";"      11";"      30";"      16";"       6";"       3";"       3";"       5";"       1";"      40";"       1";"       3";"       3";"      17";"     6.4";"     9.7";"     2.0";"     0.0";"    16.8"
"Women";"30 to 39 years";"2015";"      66";"      45";"      13";"       0";"       8";"      25";"      22";"       5";"       1";"       6";"       7";"       0";"      43";"       3";"       3";"       6";"      11";"     6.5";"    10.0";"     2.7";"     0.0";"    12.4"
"Women";"30 to 39 years";"2016";"      73";"      49";"      17";"       0";"       7";"      33";"      21";"       8";"       3";"       3";"       5";"       0";"      49";"       4";"       6";"       3";"      11";"     7.2";"    10.6";"     3.5";"     0.0";"    10.9"
"Women";"30 to 39 years";"2017";"      63";"      45";"      10";"       1";"       7";"      25";"      13";"      12";"       3";"       7";"       3";"       0";"      45";"       2";"       5";"       1";"      10";"     6.1";"     9.5";"     2.1";"    50.1";"    10.9"
"Women";"30 to 39 years";"2018";"      73";"      54";"      12";"       0";"       7";"      29";"      19";"      10";"       1";"       8";"       6";"       0";"      54";"       4";"       3";"       1";"      11";"     7.0";"    11.1";"     2.5";"     0.0";"    11.0"
"Women";"30 to 39 years";"2019*";"      71";"      53";"       7";"       0";"      11";"      35";"      17";"       6";"       2";"       6";"       4";"       1";"      46";"       2";"       3";"       4";"      16";"     6.7";"    10.6";"     1.4";"     0.0";"    17.3"
"Women";"40 to 49 years";"1950";"      33";"       7";"      19";"       5";"       2";"       6";"       1";"";"       9";"       1";"      15";"       1";"      12";"       2";"       1";"       5";"      13";"     5.2";"     8.0";"     3.7";"    19.4";"    16.6"
"Women";"40 to 49 years";"1951";"      43";"      12";"      26";"       4";"       1";"      10";"       4";"";"      10";"       1";"      17";"       1";"       0";"       0";"       0";"       0";"      43";"     6.7";"    13.8";"     5.0";"    15.8";"     8.0"
"Women";"40 to 49 years";"1952";"      45";"       6";"      30";"       6";"       3";"       9";"       3";"";"       7";"       4";"      22";"       0";"       0";"       0";"       0";"       0";"      45";"     6.9";"     7.0";"     5.7";"    24.3";"    23.0"
"Women";"40 to 49 years";"1953";"      35";"       5";"      25";"       3";"       2";"       6";"       3";"";"      10";"       0";"      14";"       2";"       0";"       0";"       0";"       0";"      35";"     5.3";"     5.9";"     4.7";"    12.4";"    14.8"
"Women";"40 to 49 years";"1954";"      37";"       5";"      27";"       3";"       2";"       6";"       6";"";"       7";"       0";"      16";"       2";"       0";"       0";"       0";"       0";"      37";"     5.6";"     5.9";"     5.0";"    12.7";"    14.5"
"Women";"40 to 49 years";"1955";"      41";"       9";"      29";"       1";"       2";"       3";"       1";"";"       8";"       2";"      25";"       2";"      21";"       3";"       1";"       2";"      14";"     6.1";"    10.9";"     5.3";"     4.3";"    14.2"
"Women";"40 to 49 years";"1956";"      37";"       8";"      17";"       6";"       6";"      10";"       2";"";"       7";"       1";"      16";"       1";"       0";"       0";"       0";"       0";"      37";"     5.5";"     9.9";"     3.1";"    26.6";"    41.9"
"Women";"40 to 49 years";"1957";"      52";"       4";"      42";"       3";"       3";"      16";"       1";"";"      14";"       2";"      17";"       2";"      32";"       3";"       2";"       2";"      13";"     7.7";"     5.1";"     7.5";"    13.6";"    20.7"
"Women";"40 to 49 years";"1958";"      51";"      10";"      27";"       7";"       7";"       9";"       3";"";"      14";"       1";"      23";"       1";"       0";"       0";"       0";"       0";"      51";"     7.6";"    13.0";"     4.8";"    32.5";"    48.1"
"Women";"40 to 49 years";"1959";"      58";"      12";"      39";"       4";"       3";"      14";"       2";"";"      13";"       1";"      22";"       6";"       0";"       0";"       0";"       0";"      58";"     8.6";"    16.2";"     6.9";"    19.0";"    20.8"
"Women";"40 to 49 years";"1960";"      41";"       8";"      30";"       3";"       0";"       9";"       4";"";"      10";"       2";"      14";"       2";"       0";"       0";"       0";"       0";"      41";"     6.0";"    11.1";"     5.2";"    14.2";"     0.0"
"Women";"40 to 49 years";"1961";"      42";"       5";"      33";"       3";"       1";"      13";"       6";"";"       7";"       1";"      15";"       0";"       0";"       0";"       0";"       0";"      42";"     6.1";"     7.1";"     5.6";"    13.9";"     7.5"
"Women";"40 to 49 years";"1962";"      54";"      11";"      35";"       4";"       4";"       7";"      16";"";"       9";"       0";"      19";"       3";"      25";"       2";"       3";"       5";"      19";"     7.7";"    15.8";"     5.9";"    18.5";"    29.9"
"Women";"40 to 49 years";"1963";"      29";"       6";"      17";"       3";"       3";"       7";"       7";"";"       3";"       1";"       9";"       2";"       0";"       0";"       0";"       0";"      29";"     4.1";"     8.8";"     2.8";"    14.0";"    22.4"
"Women";"40 to 49 years";"1964";"      50";"       8";"      38";"       1";"       3";"       9";"      10";"";"       9";"       0";"      18";"       4";"       0";"       0";"       0";"       0";"      50";"     7.0";"    11.9";"     6.2";"     4.7";"    22.4"
"Women";"40 to 49 years";"1965";"      47";"      11";"      30";"       3";"       3";"       8";"      14";"";"       7";"       5";"      12";"       1";"      28";"       3";"       1";"       4";"      11";"     6.5";"    16.5";"     4.8";"    13.8";"    22.3"
"Women";"40 to 49 years";"1966";"      50";"      11";"      33";"       2";"       4";"      13";"      13";"";"       9";"       2";"      10";"       3";"       0";"       0";"       0";"       0";"      50";"     6.8";"    16.7";"     5.2";"     9.1";"    29.2"
"Women";"40 to 49 years";"1967";"      46";"       9";"      30";"       3";"       4";"      12";"      17";"";"       8";"       2";"       3";"       4";"      18";"       4";"       2";"       3";"      19";"     6.2";"    13.9";"     4.7";"    13.5";"    28.5"
"Women";"40 to 49 years";"1968";"      62";"      11";"      43";"       4";"       4";"       8";"      25";"";"       8";"       4";"      12";"       5";"       0";"       0";"       0";"       0";"      62";"     8.3";"    17.3";"     6.6";"    17.6";"    27.5"
"Women";"40 to 49 years";"1969";"      81";"      13";"      59";"       6";"       3";"      17";"      34";"";"      16";"       5";"       9";"       0";"      48";"       1";"       0";"       7";"      25";"    10.7";"    20.7";"     9.0";"    25.9";"    19.7"
"Women";"40 to 49 years";"1970";"      67";"      15";"      44";"       5";"       3";"      17";"      32";"";"      10";"       2";"       6";"       0";"      40";"       2";"       1";"       5";"      19";"     8.8";"    24.3";"     6.7";"    21.3";"    19.0"
"Women";"40 to 49 years";"1971";"      64";"      11";"      44";"       5";"       4";"       7";"      27";"";"      16";"       1";"      13";"       0";"      36";"       4";"       1";"       4";"      19";"     8.4";"    18.3";"     6.7";"    21.3";"    24.5"
"Women";"40 to 49 years";"1972";"      76";"      10";"      55";"       3";"       8";"      17";"      33";"";"      13";"       3";"      10";"       0";"      50";"       6";"       1";"       3";"      16";"    10.0";"    17.0";"     8.3";"    12.7";"    45.9"
"Women";"40 to 49 years";"1973";"      78";"       9";"      56";"       7";"       6";"      17";"      33";"";"      14";"       3";"      11";"       0";"      55";"       0";"       4";"       3";"      16";"    10.3";"    15.9";"     8.5";"    29.8";"    31.6"
"Women";"40 to 49 years";"1974";"      88";"      14";"      60";"       8";"       6";"      17";"      34";"";"      17";"       7";"      13";"       0";"      45";"       4";"       3";"       2";"      34";"    11.6";"    25.6";"     9.1";"    34.3";"    28.7"
"Women";"40 to 49 years";"1975";"      95";"      13";"      64";"       5";"      13";"      18";"      41";"";"      21";"       7";"       8";"       0";"      56";"       4";"       7";"       3";"      25";"    12.6";"    24.5";"     9.7";"    21.6";"    56.0"
"Women";"40 to 49 years";"1976";"      76";"      14";"      45";"       2";"      15";"      23";"      28";"";"      10";"       6";"       9";"       0";"      43";"       4";"       1";"       5";"      23";"    10.0";"    27.3";"     6.8";"     8.7";"    58.0"
"Women";"40 to 49 years";"1977";"      76";"      15";"      54";"       0";"       7";"      23";"      24";"";"      18";"       3";"       8";"       0";"      43";"       2";"       1";"       2";"      28";"    10.0";"    30.3";"     8.2";"     0.0";"    24.4"
"Women";"40 to 49 years";"1978";"      88";"      10";"      61";"       5";"      12";"      21";"      30";"";"      10";"       7";"      20";"       0";"      46";"       5";"       0";"       4";"      33";"    11.6";"    20.8";"     9.3";"    22.0";"    37.9"
"Women";"40 to 49 years";"1979";"     116";"      21";"      65";"       8";"      22";"      39";"      28";"      12";"      16";"      13";"       8";"       0";"      68";"       7";"       5";"       4";"      32";"    15.1";"    44.7";"     9.8";"    35.4";"    62.7"
"Women";"40 to 49 years";"1980";"      76";"       9";"      43";"      14";"      10";"      19";"      13";"      19";"      12";"       5";"       8";"       0";"      47";"       4";"       2";"       3";"      20";"     9.8";"    19.6";"     6.4";"    62.6";"    25.6"
"Women";"40 to 49 years";"1981";"      86";"      11";"      53";"       6";"      16";"      27";"      17";"      12";"      16";"       6";"       8";"       0";"      42";"      10";"       3";"       4";"      27";"    11.0";"    24.4";"     7.9";"    27.1";"    36.8"
"Women";"40 to 49 years";"1982";"      92";"      15";"      51";"       6";"      20";"      29";"      19";"      13";"      12";"       8";"      11";"       0";"      56";"       6";"       5";"       3";"      22";"    11.7";"    34.0";"     7.6";"    27.5";"    41.2"
"Women";"40 to 49 years";"1983";"     106";"      11";"      59";"       3";"      33";"      28";"      26";"      18";"      17";"      10";"       7";"       0";"      66";"       0";"      15";"       2";"      23";"    13.3";"    25.0";"     8.7";"    13.9";"    60.5"
"Women";"40 to 49 years";"1984";"     110";"      11";"      71";"       6";"      22";"      29";"      25";"      17";"      20";"       6";"      13";"       0";"      55";"       4";"      10";"       5";"      36";"    13.5";"    24.7";"    10.3";"    28.0";"    35.8"
"Women";"40 to 49 years";"1985";"      83";"      12";"      48";"       4";"      19";"      36";"      12";"      13";"       6";"       7";"       9";"       0";"      33";"       1";"      10";"       6";"      33";"     9.9";"    26.5";"     6.8";"    18.6";"    27.7"
"Women";"40 to 49 years";"1986";"     110";"      13";"      66";"       4";"      27";"      35";"      23";"      16";"      14";"      11";"      11";"       0";"      54";"       1";"      12";"       2";"      41";"    12.6";"    27.5";"     9.1";"    18.5";"    35.3"
"Women";"40 to 49 years";"1987";"     109";"      12";"      61";"       6";"      30";"      30";"      23";"      16";"      15";"      14";"      11";"       0";"      43";"       2";"       6";"       3";"      55";"    11.9";"    23.5";"     8.0";"    27.3";"    35.1"
"Women";"40 to 49 years";"1988";"     103";"      10";"      62";"       3";"      28";"      32";"      16";"      14";"      12";"      13";"      15";"       1";"      45";"       1";"      10";"       5";"      42";"    10.7";"    18.3";"     7.8";"    13.5";"    29.9"
"Women";"40 to 49 years";"1989";"     102";"      22";"      48";"       6";"      26";"      29";"      17";"      20";"       8";"      16";"      12";"       0";"      53";"       3";"      17";"       6";"      23";"    10.3";"    37.8";"     5.9";"    26.7";"    25.8"
"Women";"40 to 49 years";"1990";"      88";"      10";"      55";"       1";"      22";"      30";"      12";"      16";"       6";"      13";"      11";"       0";"      60";"       0";"       9";"       8";"      11";"     8.6";"    16.1";"     6.6";"     4.4";"    20.5"
"Women";"40 to 49 years";"1991";"      98";"      14";"      53";"       2";"      29";"      21";"      21";"      14";"       8";"      13";"      21";"       0";"      57";"       4";"      14";"       4";"      19";"     9.3";"    20.9";"     6.2";"     8.9";"    25.8"
"Women";"40 to 49 years";"1992";"     106";"      21";"      48";"       8";"      29";"      29";"      20";"      22";"      15";"      10";"      10";"       0";"      68";"       3";"       8";"       3";"      24";"     9.8";"    28.9";"     5.5";"    35.4";"    24.6"
"Women";"40 to 49 years";"1993";"     105";"      16";"      48";"      11";"      30";"      34";"      20";"      11";"      11";"      16";"      13";"       0";"      68";"       1";"      10";"       8";"      18";"     9.5";"    20.4";"     5.4";"    48.6";"    24.4"
"Women";"40 to 49 years";"1994";"     112";"      19";"      53";"       3";"      37";"      33";"      30";"      20";"       8";"       7";"      14";"       0";"      61";"       3";"      12";"       6";"      30";"    10.0";"    22.4";"     6.0";"    13.3";"    28.9"
"Women";"40 to 49 years";"1995";"      94";"      15";"      44";"       2";"      33";"      29";"      35";"      16";"       6";"       6";"       2";"       0";"      46";"      11";"      14";"       2";"      21";"     8.2";"    16.2";"     4.9";"     9.0";"    24.7"
"Women";"40 to 49 years";"1996";"     109";"      23";"      49";"       2";"      35";"      41";"      20";"      11";"      13";"      11";"      10";"       3";"      59";"       8";"       4";"      12";"      26";"     9.5";"    23.1";"     5.5";"     9.1";"    25.5"
"Women";"40 to 49 years";"1997";"     108";"      30";"      40";"       1";"      37";"      38";"      26";"      13";"       9";"      12";"      10";"       0";"      65";"       3";"       8";"       5";"      27";"     9.4";"    28.1";"     4.6";"     4.8";"    26.6"
"Women";"40 to 49 years";"1998";"     114";"      25";"      44";"       3";"      42";"      29";"      37";"      16";"      12";"       9";"      10";"       1";"      59";"       7";"      14";"       9";"      25";"    10.0";"    21.7";"     5.1";"    15.2";"    29.9"
"Women";"40 to 49 years";"1999";"     111";"      27";"      41";"       2";"      41";"      34";"      41";"      13";"       3";"      11";"       9";"       0";"      69";"       4";"       3";"       7";"      28";"     9.6";"    21.7";"     4.7";"    10.5";"    28.8"
"Women";"40 to 49 years";"2000";"     125";"      33";"      48";"       1";"      43";"      38";"      41";"      15";"       9";"      11";"       9";"       2";"      75";"       5";"       4";"       8";"      33";"    10.7";"    24.6";"     5.5";"     5.3";"    29.9"
"Women";"40 to 49 years";"2001";"     112";"      33";"      49";"       3";"      27";"      41";"      28";"      12";"       4";"      15";"      12";"       0";"      62";"       4";"       9";"       7";"      30";"     9.5";"    22.7";"     5.6";"    16.0";"    18.3"
"Women";"40 to 49 years";"2002";"     104";"      29";"      35";"       4";"      36";"      41";"      29";"      11";"       3";"      11";"       9";"       0";"      65";"       5";"       8";"       9";"      17";"     8.7";"    18.5";"     4.0";"    21.7";"    23.8"
"Women";"40 to 49 years";"2003";"      94";"      28";"      34";"       2";"      30";"      26";"      28";"      12";"       6";"      12";"      10";"       0";"      57";"       3";"       6";"       9";"      19";"     7.7";"    16.6";"     3.9";"    11.1";"    19.4"
"Women";"40 to 49 years";"2004";"     143";"      44";"      50";"       3";"      46";"      50";"      39";"      21";"       8";"      17";"       6";"       2";"      93";"       8";"      10";"       9";"      23";"    11.6";"    24.2";"     5.7";"    17.2";"    29.0"
"Women";"40 to 49 years";"2005";"     114";"      29";"      52";"       2";"      31";"      45";"      30";"       9";"       6";"      10";"      13";"       1";"      58";"       7";"      12";"      11";"      26";"     9.1";"    14.9";"     6.0";"    11.9";"    19.1"
"Women";"40 to 49 years";"2006";"     107";"      33";"      41";"       3";"      30";"      33";"      36";"       7";"       9";"      14";"       7";"       1";"      72";"       7";"      10";"       6";"      12";"     8.5";"    16.0";"     4.7";"    18.6";"    18.1"
"Women";"40 to 49 years";"2007";"      94";"      36";"      26";"       2";"      30";"      31";"      26";"      15";"       5";"      12";"       4";"       1";"      55";"       5";"       9";"       9";"      16";"     7.4";"    16.6";"     3.0";"    13.0";"    17.8"
