id,brewery_id,name,cat_id,style_id,abv,ibu,srm,upc
330,727,Harvest Ale 2005 (Calvados),-1,-1,11.5,0,0,0
331,727,Harvest Ale 2005 (Sherry),-1,-1,11.5,0,0,0
332,1072,Old Crustacean Barleywine 2006,-1,-1,11.5,0,0,0
333,236,Avalanche Amber,3,33,5.4,0,0,0
334,236,Hefe Proper Ale,8,95,0,0,0,0
335,935,Levity Amber Ale,3,33,5.1,0,0,0
336,935,Easy Street Wheat,11,116,4.6,0,0,0, swirl what's left to stir up the yeast," then pour the rest and enjoy.""",0,7/22/2010 20:00,,,,,,,,,,,,,,,,,,,,,
337,161,Boulevard Pale Ale,3,26,5.4,0,0,0
338,161,Bully! Porter,2,25,5.4,0,0,0
339,795,Bovine Belgian Winter Ale,-1,-1,0,0,0,0
340,795,XX Black Angus Stout,3,42,0,0,0,0
341,795,Blarney Stone Stout,3,42,0,0,0,0
342,795,Bison Brown Ale,3,38,0,0,0,0
343,795,Prairie Pale,3,26,0,0,0,0
344,795,Wildcat Wheat,8,95,0,0,0,0
345,161,Boulevard Dry Stout,3,42,4.9,0,0,0
346,160,Planet Porter / Boulder Porter,2,25,5.5,0,0,0
347,195,Amber,-1,-1,8,0,0,0
348,187,Blanche des Moines,-1,-1,4.5,0,0,0
349,187,Triple Moine,-1,-1,7.2,0,0,0
350,272,Arabier,5,65,9,0,0,0
351,272,Bos Keun,5,65,8.9,0,0,0
352,175,Grand Cru,-1,-1,10.5,0,0,0
353,272,Oerbier,-1,-1,7.5,0,0,0
354,272,Dulle Teve / Mad Bitch,-1,-1,10,0,0,0
355,278,Vuuve,-1,-1,0,0,0,0
356,284,Gouden Carolus Tripel,-1,-1,9,0,0,0
357,284,Gouden Carolus Ambrio 1471,-1,-1,8,0,0,0
358,269,Pauwel Kwak,-1,-1,8,0,0,0
359,285,Delirium NoÃ«l,5,72,10,0,0,0
360,7,Rochefort 10,5,62,11.3,0,0,0
361,167,McChouffe,3,29,8.5,0,0,0
362,236,471 Double IPA,3,31,9.2,0,0,0
363,167,La Chouffe Golden Ale,5,65,8,0,0,0
364,184,Saison Voisin,-1,-1,5,0,0,0
365,322,Olde Expensive Ale,1,13,0,0,0,0
366,110,Quadrupel,-1,-1,10,0,0,0
367,110,Tripel,-1,-1,8,0,0,0
368,110,Dubbel,-1,-1,7,0,0,0
369,903,Old Growler,2,25,6.5,0,0,0
370,431,Urthel Vlaemse Bock,7,90,7.5,0,0,0
371,296,Watou Tripel,5,61,7.5,0,0,0
372,586,Matilda,-1,-1,7,0,0,0
373,638,Old Engine Oil Special Reserve (aged in malt whisky casks),-1,-1,8,0,0,0
374,935,Imperial Stout,3,42,7.1,0,0,0
375,757,EKU 28,7,90,11,0,0,0
376,757,Eisbock,7,90,9.2,0,0,0
377,1115,Doppelbock Dunkel,7,92,8.5,0,0,0
378,1385,Special London Ale,1,13,6.4,0,0,0
379,1385,Oatmeal Stout,3,42,5.2,0,0,0
380,128,Super,-1,-1,8,0,0,0
381,128,Wayan,-1,-1,5.6,0,0,0
382,160,GABF 25th Year Beer,1,5,0,0,0,0
383,39,Old Foghorn 2006,-1,-1,9.4,0,0,0
384,21,Grand Cru 2006,-1,-1,10,0,0,0
385,363,Cerveza Negra,3,42,6.5,0,0,0
386,363,Cerveza Diablo,8,95,7.5,0,0,0
387,363,Cerveza Roja,7,84,6,0,0,0
