year,month,investor,quantity,share,partner,sector,subsector,country,region
2014,January,ICBC,770,,Standard Bank,Finance,Investment,Britain,Europe
2014,January,Shanghai Greenland,980,,Minerva,Real estate,Property,Britain,Europe
2014,January,Fosun,1360,80%,Caixa Geral,Finance,,Portugal,Europe
2014,January,China Communications Construction,700,,,Transport,Shipping,Cameroon,Sub-Saharan Africa
2014,January,Sinomach,300,,,Other,Utilities,Ghana,Sub-Saharan Africa
2014,January,China National Nuclear,190,25%,Langer Heinrich,Metals,,Namibia,Sub-Saharan Africa
2014,January,Fuyao,200,,,Transport,Autos,USA,USA
2014,January,Lenovo,2300,,IBM,Technology,,USA,USA
2014,January,Lenovo,2910,100%,Motorola Mobility,Technology,Telecom,USA,USA
2014,January,Meidu Holding,290,,Woodbine Holdings,Energy,Oil,USA,USA
2014,January,Power Construction Corp,240,,,Energy,Hydro,Pakistan,West Asia
2014,February,CNPC,560,,Ma'aden,Chemicals,,Saudi Arabia,Arab World
2014,February,China Communications Construction,200,,,Transport,Shipping,Saudi Arabia,Arab World
2014,February,"Bank of China, China Life, and Hopu Investment",160,2%,Global Logistics Properties,Real estate,Property,Singapore,East Asia
2014,February,Landing International Development,1100,50%,Genting Singapore,Real estate,Property,South Korea,East Asia
2014,February,Dongfeng,1100,14%,Pugeot,Transport,Autos,France,Europe
2014,February,Huaxin,310,85%,Alcatel-Lucent,Technology,Telecom,France,Europe
2014,February,COFCO,1210,51%,Nidera,Agriculture,,Netherlands,Europe
2014,February,Three Gorges,390,33%,Terra Novo,Energy,Hydro,Brazil,South America
2014,February,State Grid,100,51%,Central Furnas and North Central Electric,Energy,,Brazil,South America
2014,February,Power Construction Corp,480,80%,Camargo Correa,Transport,Autos,Venezuela,South America
2014,February,State Construction Engineering,520,,,Real estate,Construction,Congo,Sub-Saharan Africa
2014,February,Sinomach,130,,,Transport,Autos,Congo,Sub-Saharan Africa
2014,February,China Communications Construction,400,,,Transport,Shipping,Eritrea,Sub-Saharan Africa
2014,February,China Communications Construction,200,,,Transport,Shipping,Tanzania,Sub-Saharan Africa
2014,February,Beijing Capital Development,100,,Silverstone,Real estate,Property,USA,USA
2014,February,Goldleaf,670,95%,ERG Resources,Energy,,USA,USA
2014,February,Wanxiang,150,100%,Fisker Automotive,Transport,Autos,USA,USA
2014,February,China Nonferrous,490,,Kazakhmys,Metals,Copper,Kazakhstan,West Asia
2014,February,CNPC,1400,,,Energy,Gas,Kyrgyzstan,West Asia
2014,March,Beijing Urban Construction,1300,,Zenith Sdn.,Transport,Autos,Malaysia,East Asia
2014,March,Beijing Capital,800,,Transpacific,Other,Utilities,New Zealand,East Asia
2014,March,Tencent,500,28%,CJ Games,Other,Consumer,South Korea,East Asia
2014,March,China Energy Engineering,340,,Frodnoernergo,Energy,,Belarus,Europe
2014,March,Geely Auto,200,100%,Emerald Automotive,Transport,Autos,Britain,Europe
2014,March,Shanghai Greenland,990,,Commercial Estates Group,Real estate,Property,Britain,Europe
2014,March,Fosun,140,19%,Deutsche Bank,Finance,Banking,Germany,Europe
2014,March,SAFE,2760,"2%, 3%","Eni, Enel",Energy,,Italy,Europe
2014,March,China Communications Construction,1120,,,Transport,Autos,Montenegro,Europe
2014,March,Shanghai Greenland,360,,,Real estate,Property,Canada,North America
2014,March,Sinomach,250,,,Agriculture,,Congo,Sub-Saharan Africa
2014,March,Zhenfa New Energy Science,250,,,Energy,Alternative,Zimbabwe,Sub-Saharan Africa
2014,March,Alibaba,220,20%,TangoMe,Technology,Telecom,USA,USA
2014,March,Cinda,300,70%,Zeller Realty,Real estate,Property,USA,USA
2014,March,State Construction Engineering,210,,,Transport,Autos,USA,USA
2014,March,China Communications Construction,160,,,Real estate,Construction,Iran,West Asia
2014,March,Three Gorges,900,,,Energy,Hydro,Pakistan,West Asia
2014,March,China Communications Construction,220,,,Transport,Shipping,Pakistan,West Asia
2014,March,State Construction Engineering,710,,,Real estate,Construction,Russia,West Asia
2014,March,China Merchants,990,,,Transport,Autos,Sri Lanka,West Asia
2014,April,Sinoma,260,,Ciment Lafarge Souakri,Real estate,Construction,Algeria,Arab World
2014,April,State Construction Engineering,110,,,Transport,Autos,UAE,Arab World
2014,April,China Merchants,820,50%,Hastings,Transport,Shipping,Australia,Australia
2014,April,Sinomach,670,,BTN,Energy,Coal,Indonesia,East Asia
2014,April,Shanghai Greenland,180,,,Real estate,Property,Malaysia,East Asia
2014,April,Sanpower,790,89%,House of Fraser,Other,Consumer,Britain,Europe
2014,April,Power Construction Corp,110,,,Transport,Autos,Bolivia,South America
2014,April,Minmetals,5850,,Glencore,Metals,Copper,Peru,South America
2014,April,Chinalco,500,,Venalum,Metals,Aluminum,Venezuela,South America
2014,April,Sinoma,180,,,Real estate,Construction,Congo,Sub-Saharan Africa
2014,April,China Energy Engineering,480,,,Transport,Rail,Ethiopia,Sub-Saharan Africa
2014,April,China Communications Construction,100,,,Agriculture,,South Sudan,Sub-Saharan Africa
2014,April,Sinopec,1200,50%,Lukoil,Energy,Oil,Kazakhstan,West Asia
2014,April,China Mobile,520,,,Technology,Telecom,Pakistan,West Asia
2014,April,Sinomach,1990,,,Energy,Coal,Pakistan,West Asia
2014,April,China Communications Construction,130,,,Transport,Shipping,Pakistan,West Asia
2014,April,ICBC,320,76%,Tekstil Bankasi,Finance,Banking,Turkey,West Asia
2014,May,China Communications Construction,500,,Aramco,Agriculture,,Saudi Arabia,Arab World
2014,May,State Construction Engineering,100,,,Transport,Aviation,UAE,Arab World
2014,May,Power Construction Corp,1000,,AC Energy and Power Partners,Energy,Coal,Philippines,East Asia
2014,May,Alibaba,250,10%,Singapore Post,Other,,Singapore,East Asia
2014,May,Shanghai Shentong,290,,,Transport,Rail,Singapore,East Asia
2014,May,Bright Foods,960,56%,Tnuva,Agriculture,,Israel,Europe
2014,May,Power Construction Corp,560,40%,Ansaldo Energia,Energy,,Italy,Europe
2014,May,Sinopec and Huadian,1240,"10%, 5%",Petronas,Energy,Gas,Canada,North America
2014,May,Chinalco,1350,41%,Rio Tinto,Metals,Steel,Guinea,Sub-Saharan Africa
2014,May,Hongqiao,110,90%,,Metals,Aluminum,Guinea,Sub-Saharan Africa
2014,May,MCC,350,,,Metals,Steel,Iran,West Asia
2014,May,Sinomach,250,,,Transport,Aviation,Nepal,West Asia
2014,May,Great Wall Motor,340,,,Transport,Autos,Russia,West Asia
2014,May,Sinomach,180,,,Real estate,Construction,Russia,West Asia
2014,May,Sinoma,150,,,Real estate,Construction,Russia,West Asia
2014,May,China Railway Construction,1990,,China International Fund Limited and JSC Mosinzhproekt,Transport,Rail,Russia,West Asia
2014,May,CNPC,600,,,Energy,Gas,Turkmenistan,West Asia
2014,June,State Construction Engineering,890,,,Transport,Aviation,Algeria,Arab World
2014,June,Baosteel,860,65%,Aquila Resources,Metals,Steel,Australia,Australia
2014,June,State Construction Engineering,250,,,Real estate,Construction,Papua New Guinea,East Asia
2014,June,China Mobile,880,18%,True Corp,Technology,Telecom,Thailand,East Asia
2014,June,China Construction Bank,190,,,Real estate,Property,Britain,Europe
2014,June,China Life,950,70%,Songbird,Real estate,Property,Britain,Europe
2014,June,Fosun,200,,Latsis,Transport,Aviation,Greece,Europe
2014,June,China Communications Construction,1020,,,Transport,Shipping,Israel,Europe
2014,June,Dalian Wanda,360,,Santander,Real estate,Property,Spain,Europe
2014,June,Power Construction Corp,240,,,Energy,Hydro,Bolivia,South America
2014,June,State Construction Engineering,590,,,Real estate,Construction,Congo,Sub-Saharan Africa
2014,June,Power Construction Corp,1340,,,Energy,Coal,Zimbabwe,Sub-Saharan Africa
2014,June,Shanghai International Group and Sanpower,170,100%,Brookstone Holdings,Other,Consumer,USA,USA
2014,June,China Railway Engineering,1550,,,Transport,Autos,Bangladesh,West Asia
