id,source,target,SUID,source_url,interaction,confidence,shared_interaction,name,shared_name,contract_share,log_message,ownership_type,start_date,source_date,ownership_status
5247,1885,1546,5247,http://www.bintandprathel.com/news/33-some-of-our-on-going-projects-includes-.html,-,Low,-,n23265 (-) n22926,n23265 (-) n22926,,,,,,
5587,1884,1642,5587,http://www.bintandprathel.com/news/32-bint-and-prathel-conducts-5-day-training-for-nnpc-napims.html,-,Low,-,n23264 (-) n23022,n23264 (-) n23022,,,,,,
5246,1884,1546,5246,http://www.bintandprathel.com/news/32-bint-and-prathel-conducts-5-day-training-for-nnpc-napims.html,-,Low,-,n23264 (-) n22926,n23264 (-) n22926,,,,,,
5586,1883,1642,5586,http://www.bintandprathel.com/news/29-bint-a-prathel-ltd-project-with-mobil-on-going-till-2010.html,-,Low,-,n23263 (-) n23022,n23263 (-) n23022,,,,,,
5245,1883,1546,5245,http://www.bintandprathel.com/news/29-bint-a-prathel-ltd-project-with-mobil-on-going-till-2010.html,-,Low,-,n23263 (-) n22926,n23263 (-) n22926,,,,,,
5585,1882,1642,5585,http://www.igpesgroup.com/projects/index.php,-,Low,-,n23262 (-) n23022,n23262 (-) n23022,,,,,,
5244,1882,1545,5244,http://www.igpesgroup.com/projects/index.php,-,Low,-,n23262 (-) n22925,n23262 (-) n22925,,,,,,
5584,1881,1642,5584,http://www.igpesgroup.com/projects/index.php,-,Low,-,n23261 (-) n23022,n23261 (-) n23022,,,,,,
5243,1881,1545,5243,http://www.igpesgroup.com/projects/index.php,-,Low,-,n23261 (-) n22925,n23261 (-) n22925,,,,,,
5583,1880,1642,5583,http://www.igpesgroup.com/projects/index.php,-,Low,-,n23260 (-) n23022,n23260 (-) n23022,,,,,,
5242,1880,1545,5242,http://www.igpesgroup.com/projects/index.php,-,Low,-,n23260 (-) n22925,n23260 (-) n22925,,,,,,
5582,1879,1642,5582,http://www.igpesgroup.com/projects/index.php,-,Low,-,n23259 (-) n23022,n23259 (-) n23022,,,,,,
5241,1879,1545,5241,http://www.igpesgroup.com/projects/index.php,-,Low,-,n23259 (-) n22925,n23259 (-) n22925,,,,,,
5581,1878,1642,5581,http://www.igpesgroup.com/projects/index.php,-,Low,-,n23258 (-) n23022,n23258 (-) n23022,,,,,,
5240,1878,1545,5240,http://www.igpesgroup.com/projects/index.php,-,Low,-,n23258 (-) n22925,n23258 (-) n22925,,,,,,
5580,1877,1642,5580,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23257 (-) n23022,n23257 (-) n23022,,,,,,
5239,1877,1540,5239,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23257 (-) n22920,n23257 (-) n22920,,,,,,
5579,1876,1642,5579,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23256 (-) n23022,n23256 (-) n23022,,,,,,
5238,1876,1540,5238,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23256 (-) n22920,n23256 (-) n22920,,,,,,
5578,1875,1642,5578,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23255 (-) n23022,n23255 (-) n23022,,,,,,
5237,1875,1540,5237,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23255 (-) n22920,n23255 (-) n22920,,,,,,
5577,1874,1642,5577,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23254 (-) n23022,n23254 (-) n23022,,,,,,
5236,1874,1540,5236,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23254 (-) n22920,n23254 (-) n22920,,,,,,
5576,1873,1642,5576,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23253 (-) n23022,n23253 (-) n23022,,,,,,
5235,1873,1540,5235,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23253 (-) n22920,n23253 (-) n22920,,,,,,
5575,1872,1642,5575,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23252 (-) n23022,n23252 (-) n23022,,,,,,
5234,1872,1540,5234,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23252 (-) n22920,n23252 (-) n22920,,,,,,
5574,1871,1642,5574,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23251 (-) n23022,n23251 (-) n23022,,,,,,
5233,1871,1540,5233,http://www.danelec-ltd.com/Clients.html,-,Low,-,n23251 (-) n22920,n23251 (-) n22920,,,,,,
