Current_Official_Name_of_Satellite,Country_Org_of_UN_Registry,Country_of_Operator_Owner,Operator_Owner,Users,Purpose,Detailed_Purpose,Class_of_Orbit,Type_of_Orbit,Longitude_of_GEO_in_Degrees,Perigee_in_Km,Apogee_Km,Eccentricity,Inclination_in_Degrees,Period_in_Minutes,Launch_Mass_in_Kg,Dry_Mass_in_Kg,Power_in_Watts,Date_of_Launch,Expected_Lifetime_Yrs,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Source Used for Orbital Data
AprizeSat 9,NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,613,715,0.01,97.90,98.00,12,12,,6/19/2014,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018,ZARYA
Apstar 6,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,134.04,35778,35794,0.00,0.01,1436.08,4680,,,4/12/2005,,Alcatel Space Industries,France/Italy,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638,JM/12_08
Apstar 6C,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,134.00,35783,35790,0.00,0.05,1436.10,,,,5/3/2018,15.00,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2018-041A,43450,JM/10_18
Apstar 6D,NR (7/20),China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,134.00,35785,35885,0.00,0.01,1438.50,5550,,,7/9/2020,15.00,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2020-045A,45863,ZARYA
Apstar 7,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,76.50,35864,35874,0.00,0.03,1440.31,5054,,,3/31/2012,15.00,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2012-013A,38107,
Apstar 9,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,142.00,35782,35788,0.00,0.12,1436.01,5200,,"10,500",10/16/2015,15.00,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-059A,40982,JM/12_15
Arabsat 5C,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,19.99,35766,35805,0.00,0.06,1436.06,4630,,,9/21/2011,15.00,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2011-049B,37810,JM/1_12
Arabsat 6A,NR,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,GEO,,30.50,35774,35811,0.00,0.01,1436.00,6465,,"20,000",4/11/2019,15.00,Lockheed Martin,USA,Cape Canaveral,Falcon Heavy,2019-021A,44186,JMSatcat/11_19
Arabsat 7F,Canada,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,GEO,,44.50,35778,35794,0.00,0.01,1436.09,3600,1700,"8,600",5/20/1999,12.00,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740,JM/12_08
Arkyd-6A,USA,USA,Planetary Resources,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,493,505,0.00,97.50,94.50,10,,,1/11/2018,,Planetary Resources,USA,Satish Dhawan Space Centre,PSLV,2018-004V,43130,JMSatcat/5_18
ARMADILLO,USA,USA,Satellite Design Laboratory UT Austin/Baylor University,Civil,Technology Development,,Elliptical,,0.00,305,851,0.04,28.50,96.20,4,,,6/25/2019,,UT Austin/Baylor University,USA,Cape Canaveral,Falcon Heavy,2019-036P,44352,JMSatcat/11_19
ArSat 1,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-71.80,35778,35795,0.00,0.01,1436.07,3000,,,10/16/2014,15.00,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2014-062B,40272,ZARYA
ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-81.00,35786,35801,0.00,0.01,1436.06,2977,,"4,600",9/30/2015,15.00,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941,JM/12_15
AsiaSat-3S,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,105.55,35780,35792,0.00,0.02,1436.07,3480,2500,"10,000",3/21/1999,15.00,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,JM/12_08
AsiaSat-5,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,100.50,35778,35795,0.00,0.00,1436.11,3760,,,8/11/2009,15.00,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696,JM/10/09
AsiaSat-6,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,120.00,35783,35793,0.00,0.07,1436.17,3700,,,9/7/2014,15.00,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-052A,40141,ZARYA
AsiaSat-7,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,105.50,35782,35793,0.00,0.02,1436.17,3813,,,11/25/2011,15.00,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933,JM/1_12
AsiaSat-8,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,105.50,35781,35793,0.00,0.07,1436.10,4500,,"8,500",8/5/2014,15.00,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-046A,40107,ZARYA
AsiaSat-9,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,122.00,35783,35790,0.00,0.02,1436.10,6140,,,9/28/2017,15.00,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-057A,42942,JM/3_18
AsiaStar,USA,USA,1Worldspace,Commercial,Communications,,GEO,,104.97,35773,35801,0.00,0.02,1436.15,2775,1530,"5,600",3/21/2000,15.00,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107,JM/12_08
ASNARO-1,Japan,Japan,Japan Space Systems,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,506,507,0.00,97.48,94.75,500,,,11/6/2014,3.00,NEC Corporation,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298,ZARYA
ASNARO-2,Japan,Japan,Japan Space Systems,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.00,493,505,0.00,97.30,94.50,570,,,1/17/2018,3.00,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2018-007A,43152,JMSatcat/5_18
Astra 1D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,67.70,35776,35795,0.00,1.15,1436.08,2924,1700,"3,300",11/1/1994,15.00,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,JM/12_08
Astra 1F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.22,35778,35797,0.00,0.03,1436.15,3010,1800,"4,400",4/18/1996,15.00,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842,JM/12_08
Astra 1G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.24,35780,35791,0.00,0.04,1436.08,3379,3010,"6,600",12/2/1997,15.00,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071,JM/12_08
Astra 1KR,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.16,35766,35807,0.00,0.08,1436.10,4332,,"12,000",4/20/2006,15.00,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055,JM/12_08
Astra 1L,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.30,35772,35798,0.00,0.05,1436.03,4500,,"13,000",5/4/2007,15.00,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-016A,31306,JM/12_08
Astra 1M,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.20,35804,35852,0.00,0.14,1438.20,5345,,"9,900",11/5/2008,15.00,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436,SC - ASCR 1/09
Astra 1N,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.20,35715,35780,0.00,0.12,1434.10,5350,,,8/6/2011,15.00,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2011-041A,37775,SC - ASCR 9/11
Astra 2A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.16,35776,35797,0.00,0.08,1436.12,3635,2500,"7,000",8/30/1998,15.00,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462,JM/12_08
Astra 2B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,31.33,35772,35801,0.00,0.07,1436.11,3315,1400,"7,800",9/14/2000,14.00,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,2000-054A,26494,JM/12_08
Astra 2C,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.21,35768,35804,0.00,0.07,1436.12,3643,2000,"7,000",6/16/2001,15.00,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853,JM/12_08
Astra 2D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.14,35770,35802,0.00,0.07,1436.10,1420,700,"1,500",12/19/2000,15.00,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 5G,2000-081A,26638,JM/12_08
Astra 2E,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.20,35781,35793,0.00,0.11,1436.12,6052,,"13,000",9/29/2013,15.00,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2013-056A,39285,SC - ASCR
Astra 2F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.20,35777,35795,0.00,0.06,1436.07,6000,2660,,9/28/2012,15.00,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2012-051A,38778,SC - ASCR
Astra 2G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.20,35785,35789,0.00,0.09,1436.11,6000,,"13,000",12/27/2014,15.00,Airbus Defense and Space,Germany/France,Baikonur Cosmodrome,Proton M,2014-089A,40364,ZARYA
Astra 3A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,23.48,35770,35804,0.00,0.06,1436.07,1500,750,"1,500",3/29/2002,10.00,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015B,27400,JM/12_08
Astra 3B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,23.50,35768,35806,0.00,0.08,1436.11,5471,,"10,000",5/21/2010,15.00,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-021A,36581,SC - ASCR
Astra 5B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,31.55,35787,35793,0.00,0.05,1436.26,5724,,,3/22/2014,15.00,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2014-011B,39617,SC - ASCR
Astranis Demosat-2,USA,USA,Astranis,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,494,505,0.00,97.50,94.50,,,,1/11/2018,,Astranis,USA,Satish Dhawan Space Centre,PSLV,2018-004S,43127,JMSatcat/5_18
Astrocast 0.1,NR,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0.00,574,590,0.00,97.70,96.30,4,,,12/3/2018,,Astrocast,Switzerland,Vandenberg AFB,Falcon 9,2018-099AS,43798,JMSatcat/3_19
Astrocast 0.2,NR,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,0.00,493,510,0.00,97.50,94.60,4,,,4/1/2019,,Astrocast,Switzerland,Satish Dhawan Space Centre,PSLV,2019-018F,44083,JMSatcat/11_19
Astrosat,NR,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,,LEO,Equatorial,0.00,632,649,0.00,5.99,97.54,230,,,9/28/2015,5.00,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C-30,2015-052A,40930,JM/12_15
AT&T T16,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-101.00,35653,36757,0.01,0.02,1436.07,6350,,,6/20/2019,15.00,Airbus Defense and Space,France,Guiana Space Center,Ariane 5,2019-034A,44333,JMGEO/11-19
Athena,NR (12/20),USA,PointView Tech,Commercial,Communications,,LEO,Sun-Synchronous,0.00,516,524,0.00,97.40,94.50,138,,,9/2/2020,,Maxar Technologies,USA,Guiana Space Center,Vega,2020-061D,46275,JMSatcat/12_20
Athena-Fidus,France,France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,,GEO,,25.00,35784,35788,0.00,0.05,1436.06,3080,,,2/6/2014,15.00,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2014-006B,39509,SC - ASCR
Athenoxat-1,NR,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,,LEO,Equatorial,0.00,532,550,0.00,14.98,95.46,6,,,12/16/2015,,Microspace Rapid Pvt Ltd.,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077C,41168,prehled-druzic
Aurora,Russia,Russia,SPUTNIX Ltd.,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,583,618,0.00,97.99,96.70,25,,,6/19/2014,1.00,Sputnix Ltd.,Russia,Dombarovsky Air Base,Dnepr,2014-033H,40017,ZARYA
Azerspace 1/Africasat-1a,Azerbaijan,Azerbaijan,Azercosmos,Government,Communications,,GEO,,46.00,35778,35794,0.00,0.04,1436.08,3250,1438,,2/7/2013,15.00,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2013-006B,39079,SC - ASCR
Azerspace 2/Intelsat-38,Azerbaijan,Azerbaijan,Azercosmos,Government,Communications,,GEO,,45.00,35750,35750,0.00,0.02,1436.10,3500,,,9/25/2018,15.00,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2018-074A,43632,JMSatcat/11_18
AztecSat-1,Mexico,USA/Mexico,Autonomous Popular University of the State of Puebla,Government/Civil,Technology Development,,LEO,Non-Polar Inclined,0.00,412,423,0.00,51.60,92.90,2,,,2/19/2020,,NASA/Mexican Space Agency,USA/Mexico,International Space Station,Nanorack Deployer,1998-067RA,45257,ZARYA
Badr 4,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26.02,35780,35791,0.00,0.07,1436.06,3304,1487,,11/8/2006,15.00,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2006-051A,29526,JM/12_08
Badr 5,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26.00,35834,35883,0.00,0.06,1439.76,5420,,,6/3/2010,15.00,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,2010-025A,36592,SC - ASCR
Badr 5A,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,30.50,35605,35623,0.00,0.03,1427.27,4940,,,6/26/2010,15.00,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-032B,36745,SC - ASCR
Badr 6,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26.08,35768,35805,0.00,0.05,1436.10,3400,,"6,000",7/7/2008,15.00,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2008-034B,33154,JM/12_08
Badr 7,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,26.00,35768,35817,0.00,0.10,1436.00,5500,,,11/10/2015,15.00,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2015-065B,41029,SC - ASCR
Bangabandhu 1,NR,Bangladesh,Bangladesh Telecommunication Regulatory Commission (BTRC),Government,Communications,,GEO,,119.10,35778,35793,0.00,0.00,1436.06,3500,,,5/11/2018,15.00,Thales Alenia Space,France/Belgium/Spain/Italy,Cape Canaveral,Falcon 9,2018-044A,43463,JM/10_18
Cosmos 2503,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0.00,570,586,0.00,97.70,96.10,4000,,,2/27/2015,5.00,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2015-009A,40420,Space50
Cosmos 2515,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0.00,549,594,0.00,97.62,96.10,4000,,,3/24/2016,5.00,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2016-020A,41394,Space50
BDSAGR-1,NR (12/20),China,"GasTianta and GZH-HNJ BDS AGR Co., Ltd.",Commercial,Earth Observation,,LEO,Sun-Synchronous,0.00,613,634,0.00,97.90,97.10,40,,,12/21/2019,3.00,MinoSpace Technology,China,Taiyuan Launch Center,Long March 4B,2019-093A,44879,JMSatcat/3_20
Beesat-4,Germany,Germany,Technical University Berlin,Civil,Technology Development,,LEO,Sun-Synchronous,0.00,487,500,0.00,97.00,94.50,1,,,6/22/2016,,Technical University Berlin,Germany,Satish Dhawan Space Centre,PSLV,2016-040W,41619,JMSatcat/7_20
Beesat-9,Germany,Germany,Technical University Berlin,Civil,Technology Development,,LEO,Sun-Synchronous,0.00,514,546,0.00,97.50,95.20,1,,,7/5/2019,,Technical University Berlin,Germany,Vostochny Cosmodrome,Soyuz 2.1b,2019-038AC,44412,JMSatcat/11_19
Beidou 2-12,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,21460,21595,0.00,55.16,773.19,2200,,,4/28/2012,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018A,38250,ZARYA
Beidou 2-13,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,21452,21603,0.00,55.10,773.21,2200,,,4/28/2012,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018B,38251,ZARYA
Beidou 2-15,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,21477,21574,0.00,55.00,773.10,3800,,,9/18/2012,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-050B,38775,SC - ASCR
Beidou 2-16,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,GEO,,80.00,35775,35799,0.00,1.84,1436.11,3800,2300,,10/25/2012,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2012-059A,38953,SC - ASCR
Beidou 2-17,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,GEO,,100.30,35676,35890,0.00,54.97,1435.92,4200,1900,,3/30/2016,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2016-021A,41434,Space50
Beidou 2-18,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,GEO,,144.00,35776,35794,0.00,1.84,1436.10,3800,,,6/12/2016,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2016-037A,41586,ZARYA
Beidou 3I-1S,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,GEO,,107.48,35796,36781,0.01,54.90,1461.81,4200,,,3/30/2015,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2015-019A,40549,JM/8_15
Beidou 3I-2S,NR,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,GEO,,89.50,35606,35953,0.00,55.00,1435.73,4200,,,9/29/2015,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-053A,40938,JM/12_15
Beidou 3-M1,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,0.00,21506,21549,0.00,55.00,773.20,800,280,,11/5/2017,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2017-069A,43001,JMSatcat/3_18
Beidou 3-23,NR (12/20),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,0.00,21509,21561,0.00,55.00,773.20,800,280,,9/22/2019,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2019-061A,44542,JMSatcat/11_19
Beidou 3-24,NR (12/20),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,0.00,21515,21554,0.00,55.00,773.20,800,280,,9/22/2019,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2019-061B,44543,JMSatcat/11_19
Beidou 3-25,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,0.00,21541,22549,0.02,55.00,773.20,800,280,,11/5/2017,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2017-069B,43002,JMSatcat/3_18
Beidou 3M-1S,NR,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,21520,21549,0.00,55.00,773.20,800,280,,7/25/2015,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037A,40748,JM/8_15
Beidou 3M-2S,NR,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,21521,21550,0.00,55.00,773.30,800,280,,7/25/2015,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037B,40749,JM/8_15
Beidou DW 26,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,0.00,21514,21541,0.00,55.00,773.20,800,280,,1/11/2018,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2018-003A,43107,JMSatcat/5_18
Beidou DW 27,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,0.00,21516,21539,0.00,55.00,773.20,800,280,,1/11/2018,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2018-003B,43108,JMSatcat/5_18
Beidou DW 28,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,0.00,21508,21547,0.00,55.00,773.20,800,280,,2/12/2018,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2018-018A,43207,JMSatcat/5_18
Beidou DW 29,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,0.00,21504,21551,0.00,55.00,773.20,800,280,,2/12/2018,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2018-018B,43208,JMSatcat/5_18
Beidou DW 30,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,0.00,21521,21533,0.00,55.00,773.20,800,280,,3/29/2018,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2018-029A,43246,JMSatcat/5_18
Beidou DW 31,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,0.00,21542,22191,0.01,55.00,773.20,800,280,,3/29/2018,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2018-029B,43245,JMSatcat/5_18
Beidou DW 32,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,GEO,,110.00,35691,35876,0.00,55.00,1436.10,800,280,,7/9/2018,8.00,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2018-057A,43539,JMSatcat/10_18
