id,unit,name,start,end,agency,acres,cause
SKU-1997,Siskiyou,Forks,06-12-2002,06-15-2002,USFS,1400,Under Invest.
TUU-5894,Tulare,State of Calif. #24,06-14-2002,06-14-2002,LOCAL,641,Vehicle
TUU-5931,Kern,Borel,06-15-2002,06-17-2002,CC,3430,Under Invest.
BDU-5283,San Bernardino,Bluecut,06-16-2002,06-22-2002,USFS,6864,Under Invest.
VAF-0364,Santa Barbara (Vand,Sudden Ranch,06-17-2002,06-19-2002,CC,7782,Under Invest.
ANF-1949,Los Angeles,Copo,06-18-2002,06-21-2002,USFS,1460,Under Invest.
SCU-2228,Alameda,Vieux,06-18-2002,06-18-2002,CDF,1029,Elec. Power
RRU-44585,Riverside,Mias (need correct),06-18-2002,06-22-2002,CDF,565,Under Invest.
MVU-4450,San Diego,Troy(4 exp rept with,06-19-2002,06-22-2003,CDF,1188,Campfire
MMU-10060,Madera,Box,06-19-2002,06-19-2002,LOCAL,300,Smoking
TUU-6214,Tulare,Stage,06-22-2002,06-22-2002,CDF,1100,Equip. Use
BDU-5640,San Bernardino,Louisiana,06-26-2002,06-30-2002,USFS,6574,Under Invest.
MMU-10594,Madera,600,06-27-2002,06-27-2002,LOCAL,448,Equip. Use
AEU-9828,El Dorado,Gondola,07-03-2002,07-07-2002,USFS,670,Human
AEU-9828,El Dorado,Gondola,07-03-2002,07-07-2002,USFS,670,Human
MMU-11097,Merced,Cottonwood,07-04-2002,07-04-2002,CDF,1000,Undetermined
MMU-11097,Merced,Cottonwood,07-04-2002,07-04-2002,CDF,1000,Undetermined
MMU-11533,Mariposa,White,07-09-2002,07-10-2002,CDF,300,Smoking
MMU-11533,Mariposa,White,07-09-2002,07-10-2002,CDF,300,Smoking
LMU-2109,Lassen,BLM #596,07-12-2002,07-13-2002,BLM,4500,Lightning
LMU-2109,Lassen,BLM #596,07-12-2002,07-13-2002,BLM,4500,Lightning
LMU-2073,Lassen,Black,07-12-2002,07-13-2002,BLM,300,Lightning
LMU-2073,Lassen,Black,07-12-2002,07-13-2002,BLM,300,Lightning
SRF-3560,Del Norte,Sour Biscuit-Zone 2,07-13-2002,08-02-2002,USFS,28772,Lightning
SRF-3560,Del Norte,Sour Biscuit-Zone 2,07-13-2002,08-02-2002,USFS,28772,Lightning
SKU-2739,Siskiyou,Mussolini,07-13-2002,07-16-2002,CDF,3260,Equip. Use
SKU-2739,Siskiyou,Mussolini,07-13-2002,07-16-2002,CDF,3260,Equip. Use
MVU-5177,San Diego,Garnet,07-13-2002,07-16-2002,USFS/CDF,1166,Undetermined
MVU-5177,San Diego,Garnet,07-13-2002,07-16-2002,USFS/CDF,1166,Undetermined
LMU-3180,Lassen,BLM #587,07-13-2002,07-20-2002,BLM,500,Lightning
LMU-3180,Lassen,BLM #587,07-13-2002,07-20-2002,BLM,500,Lightning
LMU-2124,Modoc,Knox/Annie,07-14-2002,07-14-2002,BLM,300,Lightning
LMU-2124,Modoc,Knox/Annie,07-14-2002,07-14-2002,BLM,300,Lightning
BDU-6371,Inyo,Inyo Complex,07-15-2002,07-16-2002,USFS,6550,Lightning
BDU-6371,Inyo,Inyo Complex,07-15-2002,07-16-2002,USFS,6550,Lightning
NOD-2085,Lassen,Horse Complex,07-15-2002,07-15-2002,BLM,1580,Lightning
NOD-2085,Lassen,Horse Complex,07-15-2002,07-15-2002,BLM,1580,Lightning
SLU-4041,San Luis Obispo,HWY 58,07-18-2002,07-19-2002,CDF,1380,Arson
SLU-4041,San Luis Obispo,HWY 58,07-18-2002,07-19-2002,CDF,1380,Arson
TUU-7693,Tulare,McNally,07-21-2002,09-03-2002,USFS,150696,Human
TUU-7693,Tulare,McNally,07-21-2002,09-03-2002,USFS,150696,Human
TUU-7497,Kern,Deer,07-21-2002,07-24-2002,USFS,1800,Under Invest.
TUU-7497,Kern,Deer,07-21-2002,07-24-2002,USFS,1800,Under Invest.
SKU-3049,Siskiyou,Stanza,07-26-2002,08-02-2002,USFS,2880,Lightning
SKU-3049,Siskiyou,Stanza,07-26-2002,08-02-2002,USFS,2880,Lightning
AEU-11411,El Dorado,St. Pauli,07-26-2002,07-28-2002,USFS,320,Under Invest.
AEU-11411,El Dorado,St. Pauli,07-26-2002,07-28-2002,USFS,320,Under Invest.
