"character","char_popular","costume","rank","issue","char_costume","parameter","value"
"Gambit = Name Unknown","Gambit","costumed",4,154,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,155,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,155,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,155,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,155,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,156,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,156,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,156,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,156,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,157,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,157,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,157,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,157,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,158,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,158,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,158,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,158,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,159,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,159,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,159,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,159,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,160,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,160,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,160,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,160,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,161,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,161,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,161,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,161,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,162,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,162,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,162,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,162,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,163,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,163,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,163,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,163,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,164,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,164,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,164,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,164,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,165,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,165,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,165,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,165,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,166,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,166,"Gambit (costumed)   ","thought",0
