"state","year","incidence"
"MARYLAND","1953",21.17
"MARYLAND","1954",9.160000000000002
"MARYLAND","1955",9.399999999999997
"MARYLAND","1956",3.98
"MARYLAND","1957",1.3900000000000001
"MARYLAND","1958",0.9000000000000001
"MARYLAND","1959",0.8000000000000003
"MARYLAND","1960",5.109999999999999
"MARYLAND","1961",1.3800000000000001
"MARYLAND","1962",0.06
"MARYLAND","1963",0.09
"MARYLAND","1964",0.03
"MARYLAND","1965",0.03
"MARYLAND","1967",0.06
"MASSACHUSETTS","1928",8.680000000000003
"MASSACHUSETTS","1929",2.8099999999999996
"MASSACHUSETTS","1930",11.82
"MASSACHUSETTS","1931",34.1
"MASSACHUSETTS","1932",1.4400000000000006
"MASSACHUSETTS","1933",8.360000000000003
"MASSACHUSETTS","1934",1.7600000000000007
"MASSACHUSETTS","1935",32.73
"MASSACHUSETTS","1936",1.3500000000000008
"MASSACHUSETTS","1937",8.300000000000002
"MASSACHUSETTS","1938",2.6599999999999997
"MASSACHUSETTS","1939",1.5600000000000005
"MASSACHUSETTS","1940",1
"MASSACHUSETTS","1941",3.8899999999999992
"MASSACHUSETTS","1942",0.9900000000000002
"MASSACHUSETTS","1943",4.8500000000000005
"MASSACHUSETTS","1944",9.869999999999997
"MASSACHUSETTS","1945",11.790000000000001
"MASSACHUSETTS","1946",9.079999999999998
"MASSACHUSETTS","1947",7.689999999999999
