"source","target","value"
"ESH","CHE",9
"YEM","CHE",145
"ZWE","CHE",13
"XXA","CHE",51
,"CHE",1799
"AFG","SYR",1099
"DZA","SYR",5
"EGY","SYR",33
"TCD","SYR",9
"ERI","SYR",18
"ETH","SYR",15
"GIN","SYR",52
"CIV","SYR",5
"IRN","SYR",45
"IRQ","SYR",12419
"JOR","SYR",19
"LBY","SYR",11
"LBN","SYR",23
"PAK","SYR",213
"SAU","SYR",6
"SLE","SYR",19
"SOM","SYR",354
"SDN","SYR",718
"SSD","SYR",81
"TUN","SYR",5
"TUR","SYR",6
"YEM","SYR",158
,"SYR",5
"BDI","TZA",189419
"COG","TZA",5
"COD","TZA",50056
"KEN","TZA",5
"RWA","TZA",67
"SOM","TZA",159
"SSD","TZA",10
"SYR","TZA",5
"UGA","TZA",14
"YEM","TZA",5
"CUB","TCA",5
"AFG","THA",150
"EGY","THA",17
"KHM","THA",237
"CHN","THA",181
"CMR","THA",45
"COD","THA",18
"ETH","THA",17
"PSE","THA",296
"CIV","THA",18
"IRN","THA",75
"IRQ","THA",168
"JOR","THA",5
"LAO","THA",7
"LKA","THA",123
"MMR","THA",93412
"NPL","THA",5
"PAK","THA",1647
"SOM","THA",208
"VNM","THA",794
"SDN","THA",5
"SYR","THA",216
"TZA","THA",5
"YEM","THA",37
"AFG","TJK",5200
"IRN","TJK",5
"AFG","TKM",14
"AZE","TKM",6
"BDI","TGO",5
"CAF","TGO",237
"TCD","TGO",12
"CMR","TGO",7
"COG","TGO",32
"COD","TGO",105
"GHA","TGO",9768
"CIV","TGO",1564
"IRQ","TGO",5
"LBN","TGO",5
"MLI","TGO",74
"NGA","TGO",9
"RWA","TGO",119
"SYR","TGO",11
"TUR","TGO",58
"BGD","TTO",8
"COL","TTO",11
"CUB","TTO",146
"JAM","TTO",23
"MEX","TTO",6
"PAK","TTO",9
"SYR","TTO",53
"VCT","TTO",6
"VEN","TTO",2365
"DZA","TUN",9
"CAF","TUN",9
"CMR","TUN",5
"ERI","TUN",201
"PSE","TUN",34
"CIV","TUN",20
"IRN","TUN",7
"IRQ","TUN",22
"LBY","TUN",20
"LBN","TUN",6
"MLI","TUN",5
"RWA","TUN",6
"SLE","TUN",6
"SOM","TUN",33
"SDN","TUN",65
"SYR","TUN",1707
"TUR","TUN",6
"YEM","TUN",11
"AFG","TUR",980
"IRN","TUR",519
"IRQ","TUR",1009
"SYR","TUR",3574836
,"TUR",133
"AFG","ARE",5
"EGY","ARE",5
"TCD","ARE",6
"ETH","ARE",10
"PSE","ARE",14
"IRN","ARE",7
"IRQ","ARE",801
"JOR","ARE",7
"KWT","ARE",5
"LBN","ARE",17
"PAK","ARE",5
"SAU","ARE",5
"SOM","ARE",18
"SDN","ARE",12
"SYR","ARE",357
"YEM","ARE",11
"BDI","UGA",46275
"CAF","UGA",30
"TCD","UGA",6
"CMR","UGA",5
"COG","UGA",21
"COD","UGA",408436
"ERI","UGA",6946
"ETH","UGA",2058
"PSE","UGA",5
"GIN","UGA",5
"KEN","UGA",202
"PAK","UGA",226
"RWA","UGA",15459
"SEN","UGA",10
"SOM","UGA",33102
"SDN","UGA",2717
"SSD","UGA",881193
"SYR","UGA",6
"TZA","UGA",10
"TUR","UGA",34
"YEM","UGA",27
"AFG","UKR",814
"AGO","UKR",24
"EGY","UKR",5
"ARM","UKR",47
"AZE","UKR",72
"BGD","UKR",5
"BLR","UKR",25
"TCD","UKR",7
"CMR","UKR",5
"COG","UKR",26
"COD","UKR",25
"ERI","UKR",11
"ETH","UKR",26
"PSE","UKR",10
"GEO","UKR",25
"GIN","UKR",5
"IND","UKR",7
"IRN","UKR",72
"IRQ","UKR",80
"JOR","UKR",5
"KAZ","UKR",8
"KGZ","UKR",8
"LBY","UKR",5
"LBN","UKR",8
"LKA","UKR",7
"NGA","UKR",6
"PAK","UKR",7
"RUS","UKR",148
"RWA","UKR",5
"SRB","UKR",5
"SLE","UKR",5
"SOM","UKR",84
"SDN","UKR",27
"SYR","UKR",483
"TJK","UKR",16
"TKM","UKR",7
"TUR","UKR",5
"UZB","UKR",30
"YEM","UKR",7
"XXA","UKR",45
"AGO","URY",14
"BOL","URY",5
"CMR","URY",11
"COG","URY",5
"COL","URY",159
"CUB","URY",26
"ECU","URY",7
"GTM","URY",5
"LBY","URY",5
"LVA","URY",5
"MEX","URY",5
"NIC","URY",8
"NGA","URY",22
"PRY","URY",7
"PER","URY",6
"RUS","URY",12
"SLV","URY",44
"SOM","URY",5
"SYR","URY",63
"TUR","URY",13
"UKR","URY",11
"VEN","URY",106
"AFG","USA",1622
"ALB","USA",1400
"DZA","USA",155
"AGO","USA",248
"ATG","USA",7
"EGY","USA",14485
"ARG","USA",36
"ARM","USA",1487
"AUS","USA",5
"AUT","USA",13
"AZE","USA",480
"BHR","USA",45
"BDI","USA",858
"BEL","USA",20
"BEN","USA",86
"BGD","USA",2171
"BHS","USA",181
"BTN","USA",35
"BFA","USA",1408
"BLR","USA",1604
"BOL","USA",102
"BRA","USA",991
"BIH","USA",97
"BGR","USA",220
"BLZ","USA",40
"KHM","USA",133
"CAN","USA",28
"CAF","USA",190
"CYM","USA",5
"TCD","USA",259
"CHN","USA",77814
"CHL","USA",22
"CMR","USA",5611
"COG","USA",1156
"COD","USA",1470
"COM","USA",5
"COL","USA",2840
"CRI","USA",171
"CUB","USA",2795
"CZE","USA",10
"DJI","USA",357
"DMA","USA",15
"DOM","USA",255
"ECU","USA",1446
"GNQ","USA",17
"ERI","USA",5910
"EST","USA",253
"ETH","USA",8680
"FJI","USA",141
"FRA","USA",22
"GAB","USA",48
"GMB","USA",1482
"PSE","USA",17
"GBR","USA",31
"GEO","USA",488
"DEU","USA",41
"GHA","USA",493
"GNB","USA",18
"GRC","USA",14
"GRD","USA",22
"GTM","USA",21898
"GIN","USA",1895
"GUY","USA",110
"HTI","USA",15457
"HND","USA",15882
"HRV","USA",29
"HUN","USA",14
"CIV","USA",1133
"IND","USA",8717
"IDN","USA",1167
"IRN","USA",5722
"IRQ","USA",5559
"ISR","USA",123
"ITA","USA",19
"JAM","USA",917
"JOR","USA",627
"JPN","USA",6
"KAZ","USA",1063
"KEN","USA",1854
"KGZ","USA",1605
"KOR","USA",30
"PRK","USA",6
"KWT","USA",147
"LAO","USA",73
"LBR","USA",1267
"LBY","USA",411
"LCA","USA",7
"LBN","USA",400
"LSO","USA",6
"LKA","USA",1182
"LTU","USA",22
"LVA","USA",21
"MDG","USA",10
"MRT","USA",991
"MKD","USA",116
"MDA","USA",1495
"MDV","USA",5
"MEX","USA",12103
"MHL","USA",7
"MLI","USA",1067
"MYS","USA",99
"MWI","USA",37
"MNG","USA",785
"MAR","USA",127
"MOZ","USA",21
"MNE","USA",95
"MUS","USA",36
"MMR","USA",1379
"NAM","USA",43
"NPL","USA",7007
"NLD","USA",9
"NER","USA",150
"NIC","USA",1761
"NGA","USA",2457
"NIU","USA",18
"OMN","USA",13
"PAK","USA",3961
"PAN","USA",13
"PRY","USA",17
"PER","USA",514
"PHL","USA",167
"POL","USA",10
"PRT","USA",5
"QAT","USA",20
"ROU","USA",446
"ZAF","USA",52
"RUS","USA",6802
"RWA","USA",1249
"SLV","USA",27249
"SAU","USA",588
"SRB","USA",781
"SEN","USA",404
"SGP","USA",8
"SLE","USA",443
"SOM","USA",1832
"ESP","USA",9
"VNM","USA",376
"KNA","USA",5
"SDN","USA",1424
"SUR","USA",12
"SSD","USA",48
"SVK","USA",5
"SVN","USA",5
"SWZ","USA",5
"CHE","USA",5
"SYR","USA",8559
"TZA","USA",129
"TCA","USA",14
"THA","USA",37
"TJK","USA",325
"TKM","USA",208
"TGO","USA",548
"TON","USA",5
"TTO","USA",45
"TUN","USA",91
"TUR","USA",2955
"ARE","USA",71
"UGA","USA",1791
"UKR","USA",2619
"URY","USA",5
"UZB","USA",1321
"VCT","USA",31
"VEN","USA",17338
"YEM","USA",709
"ZMB","USA",49
"ZWE","USA",804
"XXA","USA",107
"CUW","USA",35
,"USA",6854
"AFG","UZB",13
"AFG","VEN",10
"CHL","VEN",10
"COG","VEN",5
"COL","VEN",67687
"PSE","VEN",7
"HTI","VEN",7
"IRQ","VEN",18
"LBR","VEN",9
"LBY","VEN",5
"LBN","VEN",12
"NGA","VEN",7
"PER","VEN",5
"RWA","VEN",5
"SLE","VEN",5
"SYR","VEN",19
"TUR","VEN",6
"ESH","VEN",11
"EGY","YEM",16
"DJI","YEM",5
"ERI","YEM",1367
"ETH","YEM",6608
"PSE","YEM",625
"IRN","YEM",5
"IRQ","YEM",3321
"JOR","YEM",17
"SOM","YEM",256417
"VNM","YEM",15
"SDN","YEM",119
"SYR","YEM",3589
"BDI","ZMB",6380
"CMR","ZMB",5
"COG","ZMB",8
"COD","ZMB",50268
"ERI","ZMB",23
"ETH","ZMB",27
"PSE","ZMB",14
"LBR","ZMB",8
"ZAF","ZMB",6
"RWA","ZMB",764
"SLE","ZMB",5
"SOM","ZMB",3378
"SDN","ZMB",26
"SSD","ZMB",5
"SYR","ZMB",20
"TUR","ZMB",58
"UGA","ZMB",71
,"ZMB",71
"BDI","ZWE",674
"COG","ZWE",20
"COD","ZWE",7617
"ERI","ZWE",20
"ETH","ZWE",71
"CIV","ZWE",12
"MLI","ZWE",6
"RWA","ZWE",659
"SOM","ZWE",14
"SDN","ZWE",5
"SSD","ZWE",8
"UGA","ZWE",9
"COL","CUW",35
"VEN","CUW",23
"IRN","SXM",5
