supplier,recipient,no_ordered,weapon_designation,weapon_description,year_of_order,year_of_delivery,no_delivered,comments
France,India,-49,Mirage-2000-5,FGA aircraft,2011,2015-2020,-21,INR109-175 b deal ($2.3-2.6 b; offsets $593 m); Indian Mirage-2000H rebuilt to Mirage-2000-5; incl 2 produced in France and rest in India; delivery planned 2015-2023
France,India,36,Rafale,FGA aircraft,2017,2019-2020,-13,EUR7.8 b deal (incl EUR5.2 b for aircraft EUR1.8 b for spare parts and EUR710 m for armament; 50% offsets incl 20% as production of components in India); Rafale-EH version (incl 8 Rafale-DH trainer/combat version); delivery planned 2019-2022
France,India,8,SA-316B Alouette-3,Light helicopter,2017,2019-2020,-8,INR3.2 b deal; produced under licence in India as Chetak
France,India,10,SA-315B Lama,Light helicopter,-2018,,,Cheetal version; produced under licence in India; delivery planned from 2021
France,Indonesia,-10,AS-532 Cougar/AS-332,Transport helicopter,1997,2001-2017,-9,Produced under licence in Indonesia; NAS-332 and NAS-332C1+ versions; incl some for CSAR
France,Kazakhstan,20,Ground Master-400,Air search radar,2014,2014-2018,-2,Incl production in Kazakhstan
France,Malaysia,6,Gowind-2500,Frigate,2014,,,MYR10.5 b ($2.4 b)'LCS' programme; produced under licence in Malaysia; Malaysian designation Maharaja Lela; delivery planned from 2023 (delayed from 2019)
France,Saudi Arabia,39,HSI-32,Patrol craft,2018,2019-2020,-9,Incl production of 18 in Saudi Arabia
France,Saudi Arabia,19,HSI-32,Patrol craft,2020,,,Probably produced under licence in Saudi Arabia
France,South Korea,-210,EC155,Helicopter,2015,,,Produced under licence in South Korea; LCH-LAH version; delivery planned from 2023
France,Spain,24,EC-665 Tiger,Combat helicopter,2003,2007-2020,-24,EUR1.4 b deal; incl 6 HAP and 18 HAD versions; incl production under licence of 18 in Spain
France,Spain,22,NH-90 TTH,Transport helicopter,2005,2014-2020,-17,EUR1.3 b deal; most assembled/produced under licence in Spain; Spanish designation HT-29 and HD-29; delivery planned 2014-2021
France,Ukraine,20,FPB-98,Patrol craft,2020,,,For border guard; FPB-98 Mk-1 version; incl 5 produced under licence; delivery planned 2021-2024
France,United States,-60,PC2.5,Diesel engine,-1996,2006-2017,44,Produced in USA for 15 San Antonio AALS produced in USA
France,Algeria,10,FPB-98,Patrol craft,2018,2019-2020,-10,
France,Angola,,Vigilante-1400,OPV,2016,,,Part of EUR495 m deal; designation uncertain (reported as 'long patrol vessel')
France,Angola,,Vigilante-400,Patrol craft,2016,,,Part of EUR495 m deal; designation uncertain (reported as 'short patrol vessel')
France,Argentina,3,Gowind,OPV,2018,,,Part of EUR319 m deal; Argentinian designation Bouchard; delivery planned 2021-2022
