"group","yfield","xfield"
"Great Britain",0,1631
"France",0,1631
"Spain",2779,1631
"Netherlands",0,1631
"U.S.A.",0,1631
"Denmark/Baltic",0,1631
"Portugal",8951,1632
"Great Britain",0,1632
"France",0,1632
"Spain",2779,1632
"Netherlands",0,1632
"U.S.A.",0,1632
"Denmark/Baltic",0,1632
"Portugal",9298,1633
"Great Britain",381,1633
"France",0,1633
"Spain",2779,1633
"Netherlands",0,1633
"U.S.A.",0,1633
"Denmark/Baltic",0,1633
"Portugal",8951,1634
"Great Britain",0,1634
"France",0,1634
"Spain",2779,1634
"Netherlands",0,1634
"U.S.A.",0,1634
"Denmark/Baltic",0,1634
"Portugal",8951,1635
"Great Britain",0,1635
"France",0,1635
"Spain",2779,1635
"Netherlands",0,1635
"U.S.A.",0,1635
"Denmark/Baltic",0,1635
"Portugal",9532,1636
"Great Britain",0,1636
"France",0,1636
"Spain",2239,1636
"Netherlands",0,1636
"U.S.A.",0,1636
"Denmark/Baltic",0,1636
"Portugal",8411,1637
"Great Britain",0,1637
"France",0,1637
"Spain",2239,1637
"Netherlands",1299,1637
"U.S.A.",0,1637
"Denmark/Baltic",0,1637
"Portugal",8411,1638
"Great Britain",0,1638
"France",0,1638
"Spain",2239,1638
"Netherlands",1723,1638
"U.S.A.",0,1638
"Denmark/Baltic",0,1638
"Portugal",8411,1639
"Great Britain",0,1639
"France",0,1639
"Spain",2239,1639
"Netherlands",1920,1639
"U.S.A.",0,1639
"Denmark/Baltic",0,1639
"Portugal",8411,1640
"Great Britain",0,1640
"France",0,1640
"Spain",2239,1640
"Netherlands",1510,1640
"U.S.A.",0,1640
"Denmark/Baltic",0,1640
"Portugal",6239,1641
"Great Britain",949,1641
"France",0,1641
"Spain",2239,1641
"Netherlands",1935,1641
"U.S.A.",0,1641
"Denmark/Baltic",150,1641
"Portugal",4000,1642
"Great Britain",1722,1642
"France",0,1642
"Spain",889,1642
"Netherlands",3128,1642
"U.S.A.",0,1642
"Denmark/Baltic",0,1642
"Portugal",4325,1643
"Great Britain",0,1643
"France",366,1643
"Spain",889,1643
"Netherlands",6203,1643
"U.S.A.",0,1643
"Denmark/Baltic",0,1643
"Portugal",4179,1644
"Great Britain",5530,1644
"France",566,1644
"Spain",889,1644
"Netherlands",6416,1644
"U.S.A.",0,1644
"Denmark/Baltic",0,1644
"Portugal",4581,1645
"Great Britain",6115,1645
"France",0,1645
"Spain",889,1645
"Netherlands",4551,1645
"U.S.A.",371,1645
"Denmark/Baltic",0,1645
"Portugal",4000,1646
"Great Britain",9480,1646
"France",628,1646
"Spain",889,1646
"Netherlands",1131,1646
"U.S.A.",0,1646
"Denmark/Baltic",260,1646
"Portugal",4617,1647
"Great Britain",5854,1647
"France",267,1647
"Spain",889,1647
"Netherlands",7,1647
"U.S.A.",0,1647
"Denmark/Baltic",643,1647
"Portugal",4000,1648
"Great Britain",2103,1648
"France",0,1648
"Spain",889,1648
