"scalerank","featurecla","name","website","natlscale","latitude","longitude"
8,"Port","Keelung",,5.0,25.220760141757456,121.72583696694346
8,"Port","Arrecife",,5.0,28.948964844057482,-13.623954376704255
8,"Port","St Thomas",,5.0,18.332123222010704,-64.92841530036452
8,"Port","Basseterre",,5.0,17.27882702118545,-62.750002499299285
8,"Port","New Orleans",,5.0,29.93419996813862,-90.05637124381114
8,"Port","Freeport",,5.0,26.5384106344139,-78.72766361581795
8,"Port","Trenton",,5.0,44.1,-77.56
8,"Port","Goderich",,5.0,43.75,-81.73
8,"Port","Midland",,5.0,44.75,-79.91
8,"Port","St Joseph",,5.0,42.11,-86.48
8,"Port","Racine",,5.0,42.73,-87.78
8,"Port","Menominee",,5.0,45.1,-87.6
8,"Port","Escanaba",,5.0,45.76,-87.05
8,"Port","Sacramento",,5.0,38.58,-121.5
8,"Port","Great Yarmouth",,5.0,52.61,1.73
8,"Port","Dundee",,5.0,56.46,-2.96
8,"Port","Portmahomack Harbor",,5.0,57.83,-3.83
8,"Port","Wick",,5.0,58.43,-3.08
8,"Port","Oban",,5.0,56.41,-5.46
8,"Port","Douglas",,5.0,54.15,-4.46
8,"Port","Londonderry",,5.0,55.0,-7.31
8,"Port","Silloth",,5.0,54.86,-3.4
7,"Port","Ambriz",,10.0,-7.833055556,13.09375736
7,"Port","Cabinda",,10.0,-5.55,12.19022379
7,"Port","Soyo","www.otal.com/angola",10.0,-6.121388889,12.32037691
7,"Port","Durres",,10.0,41.30777778,19.45300353
7,"Port","Curacao","www.curports.com",10.0,12.11916667,-68.91825677
7,"Port","Al Fujayrah","www.fujairahport.ae",10.0,25.17833333,56.3565371
7,"Port","Caleta Olivia",,10.0,-46.43305556,-67.50848057
7,"Port","Puerto Deseado","www.scruz.gov.ar/puertos",10.0,-47.75555556,-65.9040636
7,"Port","Rio Gallegos","www.scruz.gov.ar/puertos",10.0,-51.61166667,-69.21825677
7,"Port","Rio Grande",,10.0,-53.79444444,-67.7024735
7,"Port","San Julian","www.scruz.gov.ar/puertos",10.0,-49.29972222,-67.71896349
7,"Port","Coffs Harbour",,10.0,-30.3075,153.1414605
7,"Port","Esperance","www.esperanceport.com.au",10.0,-33.87194444,121.893404
7,"Port","Port Augusta",,10.0,-32.48861111,137.7567138
7,"Port","Bowen",,10.0,-20.02083333,148.25053
7,"Port","Bundaberg","www.portofbundaberg.com.au",10.0,-24.76722222,152.388457
7,"Port","Burketown","www.cairnsports.com.au",10.0,-17.55361111,139.737927
7,"Port","Carnarvon",,10.0,-24.895,113.642874
7,"Port","Cooktown","www.cairnsports.com.au",10.0,-15.45972222,145.2437574
7,"Port","Derby",,10.0,-17.29222222,123.6051237
7,"Port","Eden","www.eden.nsw.gov.au",10.0,-37.07194444,149.9053004
7,"Port","George Town",,10.0,-41.10972222,146.8202002
7,"Port","Geraldton","www.gpa.wa.gov.au",10.0,-28.77277778,114.6007067
7,"Port","Karumba","www.cairnsports.com.au",10.0,-17.48944444,140.8333333
7,"Port","Kingscote",,10.0,-35.655,137.6395171
7,"Port","Maryborough","www.nqbp.com.au",10.0,-25.295,152.9060071
7,"Port","Strahan","www.tasports.com.au",10.0,-42.15833333,145.3205536
7,"Port","Mongla","www.monglaport.com.bd",10.0,22.48694444,89.58598351
7,"Port","Aracaju","www.ibritto.com.br",10.0,-10.92527778,-37.03951708
7,"Port","Fortaleza","www.docasdoceara.com.br",10.0,-3.7175,-38.52143698
7,"Port","Macapa",,10.0,0.032222222,-51.04269729
7,"Port","Navegantes","www.portonave.com.br",10.0,-26.89888889,-48.65424028
7,"Port","Pelotas",,10.0,-31.78194444,-52.3237338
7,"Port","Campbell River",,10.0,50.03194444,-125.2386337
7,"Port","Goose Bay",,10.0,53.38444444,-60.34234393
