"Year","State","Category","Percent"
"2014","Minnesota","coal",49.459086618746824
"2014","Minnesota","natural gas",6.705147752849778
"2014","Minnesota","nuclear",23.065054817396355
"2014","Mississippi","coal",20.170102512109946
"2014","Mississippi","natural gas",60.557245315609634
"2014","Mississippi","nuclear",19.248244527054936
"2014","Missouri","coal",83.61634201637904
"2014","Missouri","natural gas",4.609494285846481
"2014","Missouri","nuclear",10.729653449312913
"2014","Montana","Petroleum",1.532252303735981
"2014","Montana","coal",55.61468676334024
"2014","Montana","natural gas",1.8394171012215157
"2014","Montana","Hydro",41.01364383170226
"2014","Nebraska","Renewables",7.125307125307126
"2014","Nebraska","coal",62.90950040950041
"2014","Nebraska","natural gas",1.0365479115479117
"2014","Nebraska","nuclear",25.854832104832106
"2014","Nebraska","Hydro",2.9637592137592135
"2014","Nevada","Renewables",7.947000582411182
"2014","Nevada","coal",19.06814210832848
"2014","Nevada","natural gas",65.98427489807804
"2014","Nevada","Hydro",6.956901572510192
"2014","NewHampshire","Renewables",7.920113821995047
"2014","NewHampshire","Petroleum",1.4280444748906571
"2014","NewHampshire","coal",6.908362754913842
"2014","NewHampshire","natural gas",22.885598355904516
"2014","NewHampshire","nuclear",53.58065026084206
"2014","NewHampshire","Hydro",7.2772303314538656
"2014","NewJersey","Renewables",1.2573560638233332
"2014","NewJersey","coal",3.8206030455620947
"2014","NewJersey","natural gas",46.7648486319238
"2014","NewJersey","nuclear",47.78711399623855
"2014","NewMexico","Renewables",7.225031605562579
"2014","NewMexico","coal",64.3362831858407
"2014","NewMexico","natural gas",27.92983565107459
"2014","NewYork","Renewables",4.398953730130932
"2014","NewYork","Petroleum",1.4732731703318405
"2014","NewYork","coal",3.1917192658225964
"2014","NewYork","natural gas",39.84171814801291
"2014","NewYork","nuclear",32.07294080825093
"2014","NewYork","Hydro",19.0213948774508
"2014","NorthCarolina","Renewables",1.063821284418335
"2014","NorthCarolina","coal",39.09203532749871
"2014","NorthCarolina","natural gas",22.893338128921393
"2014","NorthCarolina","nuclear",32.74347600207809
